POP	INS	NoOfPeople
GWD	0	67
GWD	1	0
GWD	2	0
GWD	3	0
GWD	4	0
GWD	5	0
GWD	6	0
GWD	7	0
GWD	8	0
GWD	9	0
GWD	10	0
GWD	11	0
GWD	12	0
GWD	13	0
GWD	14	0
GWD	15	0
GWD	16	0
GWD	17	0
GWD	18	0
GWD	19	0
GWD	20	0
GWD	21	0
GWD	22	0
GWD	23	0
GWD	24	0
GWD	25	0
GWD	26	0
GWD	27	0
GWD	28	0
GWD	29	0
GWD	30	0
GWD	31	0
GWD	32	0
GWD	33	0
GWD	34	0
GWD	35	0
GWD	36	0
GWD	37	0
GWD	38	0
GWD	39	0
GWD	40	0
GWD	41	0
GWD	42	0
GWD	43	0
GWD	44	0
GWD	45	0
GWD	46	0
GWD	47	0
GWD	48	0
GWD	49	0
GWD	50	0
GWD	51	0
GWD	52	0
GWD	53	0
GWD	54	0
GWD	55	0
GWD	56	0
GWD	57	0
GWD	58	0
GWD	59	0
GWD	60	0
GWD	61	0
GWD	62	0
GWD	63	0
GWD	64	0
GWD	65	0
GWD	66	0
GWD	67	0
GWD	68	0
GWD	69	0
GWD	70	0
GWD	71	0
GWD	72	0
GWD	73	0
GWD	74	0
GWD	75	0
GWD	76	0
GWD	77	0
GWD	78	0
GWD	79	0
GWD	80	0
GWD	81	0
GWD	82	0
GWD	83	0
GWD	84	0
GWD	85	0
GWD	86	0
GWD	87	0
GWD	88	0
GWD	89	0
GWD	90	0
GWD	91	0
GWD	92	0
GWD	93	0
GWD	94	0
GWD	95	0
GWD	96	0
GWD	97	0
GWD	98	1
GWD	99	5
GWD	100	2
GWD	101	8
GWD	102	21
GWD	103	22
GWD	104	23
GWD	105	11
GWD	106	11
GWD	107	6
GWD	108	5
CLM	0	57
CLM	1	0
CLM	2	0
CLM	3	0
CLM	4	0
CLM	5	0
CLM	6	0
CLM	7	0
CLM	8	0
CLM	9	0
CLM	10	0
CLM	11	0
CLM	12	0
CLM	13	0
CLM	14	0
CLM	15	0
CLM	16	0
CLM	17	0
CLM	18	0
CLM	19	0
CLM	20	0
CLM	21	0
CLM	22	0
CLM	23	0
CLM	24	0
CLM	25	0
CLM	26	0
CLM	27	0
CLM	28	0
CLM	29	0
CLM	30	0
CLM	31	0
CLM	32	0
CLM	33	0
CLM	34	0
CLM	35	0
CLM	36	0
CLM	37	0
CLM	38	0
CLM	39	0
CLM	40	0
CLM	41	0
CLM	42	0
CLM	43	0
CLM	44	0
CLM	45	0
CLM	46	0
CLM	47	0
CLM	48	0
CLM	49	0
CLM	50	0
CLM	51	0
CLM	52	0
CLM	53	0
CLM	54	0
CLM	55	0
CLM	56	0
CLM	57	0
CLM	58	0
CLM	59	0
CLM	60	0
CLM	61	0
CLM	62	0
CLM	63	0
CLM	64	0
CLM	65	0
CLM	66	0
CLM	67	0
CLM	68	0
CLM	69	0
CLM	70	0
CLM	71	0
CLM	72	0
CLM	73	0
CLM	74	0
CLM	75	0
CLM	76	0
CLM	77	0
CLM	78	0
CLM	79	0
CLM	80	0
CLM	81	0
CLM	82	0
CLM	83	0
CLM	84	0
CLM	85	0
CLM	86	0
CLM	87	0
CLM	88	0
CLM	89	0
CLM	90	0
CLM	91	0
CLM	92	0
CLM	93	0
CLM	94	0
CLM	95	0
CLM	96	0
CLM	97	1
CLM	98	6
CLM	99	8
CLM	100	19
CLM	101	19
CLM	102	21
CLM	103	8
CLM	104	6
CLM	105	2
CLM	106	2
BEB	0	65
BEB	1	0
BEB	2	0
BEB	3	0
BEB	4	0
BEB	5	0
BEB	6	0
BEB	7	0
BEB	8	0
BEB	9	0
BEB	10	0
BEB	11	0
BEB	12	0
BEB	13	0
BEB	14	0
BEB	15	0
BEB	16	0
BEB	17	0
BEB	18	0
BEB	19	0
BEB	20	0
BEB	21	0
BEB	22	0
BEB	23	0
BEB	24	0
BEB	25	0
BEB	26	0
BEB	27	0
BEB	28	0
BEB	29	0
BEB	30	0
BEB	31	0
BEB	32	0
BEB	33	0
BEB	34	0
BEB	35	0
BEB	36	0
BEB	37	0
BEB	38	0
BEB	39	0
BEB	40	0
BEB	41	0
BEB	42	0
BEB	43	0
BEB	44	0
BEB	45	0
BEB	46	0
BEB	47	0
BEB	48	0
BEB	49	0
BEB	50	0
BEB	51	0
BEB	52	0
BEB	53	0
BEB	54	0
BEB	55	0
BEB	56	0
BEB	57	0
BEB	58	0
BEB	59	0
BEB	60	0
BEB	61	0
BEB	62	0
BEB	63	0
BEB	64	0
BEB	65	0
BEB	66	0
BEB	67	0
BEB	68	0
BEB	69	0
BEB	70	0
BEB	71	0
BEB	72	0
BEB	73	0
BEB	74	0
BEB	75	0
BEB	76	0
BEB	77	0
BEB	78	0
BEB	79	0
BEB	80	0
BEB	81	0
BEB	82	0
BEB	83	0
BEB	84	0
BEB	85	0
BEB	86	0
BEB	87	0
BEB	88	0
BEB	89	0
BEB	90	0
BEB	91	0
BEB	92	0
BEB	93	0
BEB	94	0
BEB	95	0
BEB	96	0
BEB	97	0
BEB	98	5
BEB	99	7
BEB	100	11
BEB	101	14
BEB	102	17
BEB	103	11
BEB	104	12
BEB	105	2
BEB	106	1
PEL	0	45
PEL	1	0
PEL	2	0
PEL	3	0
PEL	4	0
PEL	5	0
PEL	6	0
PEL	7	0
PEL	8	0
PEL	9	0
PEL	10	0
PEL	11	0
PEL	12	0
PEL	13	0
PEL	14	0
PEL	15	0
PEL	16	0
PEL	17	0
PEL	18	0
PEL	19	0
PEL	20	0
PEL	21	0
PEL	22	0
PEL	23	0
PEL	24	0
PEL	25	0
PEL	26	0
PEL	27	0
PEL	28	0
PEL	29	0
PEL	30	0
PEL	31	0
PEL	32	0
PEL	33	0
PEL	34	0
PEL	35	0
PEL	36	0
PEL	37	0
PEL	38	0
PEL	39	0
PEL	40	0
PEL	41	0
PEL	42	0
PEL	43	0
PEL	44	0
PEL	45	0
PEL	46	0
PEL	47	0
PEL	48	0
PEL	49	0
PEL	50	0
PEL	51	0
PEL	52	0
PEL	53	0
PEL	54	0
PEL	55	0
PEL	56	0
PEL	57	0
PEL	58	0
PEL	59	0
PEL	60	0
PEL	61	0
PEL	62	0
PEL	63	0
PEL	64	0
PEL	65	0
PEL	66	0
PEL	67	0
PEL	68	0
PEL	69	0
PEL	70	0
PEL	71	0
PEL	72	0
PEL	73	0
PEL	74	0
PEL	75	0
PEL	76	0
PEL	77	0
PEL	78	0
PEL	79	0
PEL	80	0
PEL	81	0
PEL	82	0
PEL	83	0
PEL	84	0
PEL	85	0
PEL	86	0
PEL	87	0
PEL	88	0
PEL	89	0
PEL	90	0
PEL	91	0
PEL	92	0
PEL	93	0
PEL	94	0
PEL	95	0
PEL	96	0
PEL	97	2
PEL	98	6
PEL	99	9
PEL	100	13
PEL	101	26
PEL	102	14
PEL	103	14
PEL	104	2
LWK	0	19
LWK	1	0
LWK	2	0
LWK	3	0
LWK	4	0
LWK	5	0
LWK	6	0
LWK	7	0
LWK	8	0
LWK	9	0
LWK	10	0
LWK	11	0
LWK	12	0
LWK	13	0
LWK	14	0
LWK	15	0
LWK	16	0
LWK	17	0
LWK	18	0
LWK	19	0
LWK	20	0
LWK	21	0
LWK	22	0
LWK	23	0
LWK	24	0
LWK	25	0
LWK	26	0
LWK	27	0
LWK	28	0
LWK	29	0
LWK	30	0
LWK	31	0
LWK	32	0
LWK	33	0
LWK	34	0
LWK	35	0
LWK	36	0
LWK	37	0
LWK	38	0
LWK	39	0
LWK	40	0
LWK	41	0
LWK	42	0
LWK	43	0
LWK	44	0
LWK	45	0
LWK	46	0
LWK	47	0
LWK	48	0
LWK	49	0
LWK	50	0
LWK	51	0
LWK	52	0
LWK	53	0
LWK	54	0
LWK	55	0
LWK	56	0
LWK	57	0
LWK	58	0
LWK	59	0
LWK	60	0
LWK	61	0
LWK	62	0
LWK	63	0
LWK	64	0
LWK	65	0
LWK	66	0
LWK	67	0
LWK	68	0
LWK	69	0
LWK	70	0
LWK	71	0
LWK	72	0
LWK	73	0
LWK	74	0
LWK	75	0
LWK	76	0
LWK	77	0
LWK	78	0
LWK	79	0
LWK	80	0
LWK	81	0
LWK	82	0
LWK	83	0
LWK	84	0
LWK	85	0
LWK	86	0
LWK	87	0
LWK	88	0
LWK	89	0
LWK	90	0
LWK	91	0
LWK	92	0
LWK	93	0
LWK	94	0
LWK	95	0
LWK	96	0
LWK	97	0
LWK	98	2
LWK	99	4
LWK	100	4
LWK	101	4
LWK	102	13
LWK	103	7
LWK	104	18
LWK	105	21
LWK	106	15
LWK	107	7
LWK	108	2
LWK	109	1
MSL	0	44
MSL	1	0
MSL	2	0
MSL	3	0
MSL	4	0
MSL	5	0
MSL	6	0
MSL	7	0
MSL	8	0
MSL	9	0
MSL	10	0
MSL	11	0
MSL	12	0
MSL	13	0
MSL	14	0
MSL	15	0
MSL	16	0
MSL	17	0
MSL	18	0
MSL	19	0
MSL	20	0
MSL	21	0
MSL	22	0
MSL	23	0
MSL	24	0
MSL	25	0
MSL	26	0
MSL	27	0
MSL	28	0
MSL	29	0
MSL	30	0
MSL	31	0
MSL	32	0
MSL	33	0
MSL	34	0
MSL	35	0
MSL	36	0
MSL	37	0
MSL	38	0
MSL	39	0
MSL	40	0
MSL	41	0
MSL	42	0
MSL	43	0
MSL	44	0
MSL	45	0
MSL	46	0
MSL	47	0
MSL	48	0
MSL	49	0
MSL	50	0
MSL	51	0
MSL	52	0
MSL	53	0
MSL	54	0
MSL	55	0
MSL	56	0
MSL	57	0
MSL	58	0
MSL	59	0
MSL	60	0
MSL	61	0
MSL	62	0
MSL	63	0
MSL	64	0
MSL	65	0
MSL	66	0
MSL	67	0
MSL	68	0
MSL	69	0
MSL	70	0
MSL	71	0
MSL	72	0
MSL	73	0
MSL	74	0
MSL	75	0
MSL	76	0
MSL	77	0
MSL	78	0
MSL	79	0
MSL	80	0
MSL	81	0
MSL	82	0
MSL	83	0
MSL	84	0
MSL	85	0
MSL	86	0
MSL	87	0
MSL	88	0
MSL	89	0
MSL	90	0
MSL	91	0
MSL	92	0
MSL	93	0
MSL	94	0
MSL	95	0
MSL	96	0
MSL	97	0
MSL	98	1
MSL	99	4
MSL	100	7
MSL	101	8
MSL	102	12
MSL	103	12
MSL	104	17
MSL	105	12
MSL	106	4
MSL	107	5
MSL	108	2
MSL	109	1
GBR	0	21
GBR	1	0
GBR	2	0
GBR	3	0
GBR	4	0
GBR	5	0
GBR	6	0
GBR	7	0
GBR	8	0
GBR	9	0
GBR	10	0
GBR	11	0
GBR	12	0
GBR	13	0
GBR	14	0
GBR	15	0
GBR	16	0
GBR	17	0
GBR	18	0
GBR	19	0
GBR	20	0
GBR	21	0
GBR	22	0
GBR	23	0
GBR	24	0
GBR	25	0
GBR	26	0
GBR	27	0
GBR	28	0
GBR	29	0
GBR	30	0
GBR	31	0
GBR	32	0
GBR	33	0
GBR	34	0
GBR	35	0
GBR	36	0
GBR	37	0
GBR	38	0
GBR	39	0
GBR	40	0
GBR	41	0
GBR	42	0
GBR	43	0
GBR	44	0
GBR	45	0
GBR	46	0
GBR	47	0
GBR	48	0
GBR	49	0
GBR	50	0
GBR	51	0
GBR	52	0
GBR	53	0
GBR	54	0
GBR	55	0
GBR	56	0
GBR	57	0
GBR	58	0
GBR	59	0
GBR	60	0
GBR	61	0
GBR	62	0
GBR	63	0
GBR	64	0
GBR	65	0
GBR	66	0
GBR	67	0
GBR	68	0
GBR	69	0
GBR	70	0
GBR	71	0
GBR	72	0
GBR	73	0
GBR	74	0
GBR	75	0
GBR	76	0
GBR	77	0
GBR	78	0
GBR	79	0
GBR	80	0
GBR	81	0
GBR	82	0
GBR	83	0
GBR	84	0
GBR	85	0
GBR	86	0
GBR	87	0
GBR	88	0
GBR	89	0
GBR	90	0
GBR	91	0
GBR	92	0
GBR	93	0
GBR	94	0
GBR	95	0
GBR	96	0
GBR	97	3
GBR	98	5
GBR	99	13
GBR	100	12
GBR	101	17
GBR	102	15
GBR	103	12
GBR	104	6
GBR	105	3
GBR	106	1
IBS	0	56
IBS	1	0
IBS	2	0
IBS	3	0
IBS	4	0
IBS	5	0
IBS	6	0
IBS	7	0
IBS	8	0
IBS	9	0
IBS	10	0
IBS	11	0
IBS	12	0
IBS	13	0
IBS	14	0
IBS	15	0
IBS	16	0
IBS	17	0
IBS	18	0
