SampleID	Insertions	POP
HG02461	108	GWD
HG02462	107	GWD
HG02463	0	GWD
HG02464	99	GWD
HG02465	102	GWD
HG02466	0	GWD
HG02561	102	GWD
HG02562	101	GWD
HG02563	0	GWD
HG02567	0	GWD
HG02568	104	GWD
HG02569	0	GWD
HG02570	104	GWD
HG02571	103	GWD
HG02572	0	GWD
HG02573	104	GWD
HG02574	102	GWD
HG02575	0	GWD
HG02582	103	GWD
HG02583	103	GWD
HG02584	0	GWD
HG02585	108	GWD
HG02586	106	GWD
HG02587	0	GWD
HG02588	101	GWD
HG02589	107	GWD
HG02590	0	GWD
HG02594	105	GWD
HG02595	101	GWD
HG02596	0	GWD
HG02610	102	GWD
HG02611	102	GWD
HG02612	0	GWD
HG02613	103	GWD
HG02614	105	GWD
HG02615	0	GWD
HG02620	106	GWD
HG02621	101	GWD
HG02622	0	GWD
HG02623	105	GWD
HG02624	100	GWD
HG02625	0	GWD
HG02628	101	GWD
HG02629	104	GWD
HG02630	0	GWD
HG02634	104	GWD
HG02635	106	GWD
HG02636	0	GWD
HG02642	106	GWD
HG02643	102	GWD
HG02644	0	GWD
HG02645	103	GWD
HG02646	104	GWD
HG02647	0	GWD
HG02666	106	GWD
HG02667	103	GWD
HG02668	0	GWD
HG02675	104	GWD
HG02676	101	GWD
HG02677	0	GWD
HG02678	104	GWD
HG02679	104	GWD
HG02680	0	GWD
HG02702	106	GWD
HG02703	103	GWD
HG02704	0	GWD
HG02715	102	GWD
HG02716	102	GWD
HG02717	0	GWD
HG02721	104	GWD
HG02722	104	GWD
HG02723	0	GWD
HG02756	104	GWD
HG02757	99	GWD
HG02758	0	GWD
HG02759	105	GWD
HG02760	101	GWD
HG02761	0	GWD
HG02762	0	GWD
HG02763	99	GWD
HG02764	0	GWD
HG02768	108	GWD
HG02769	102	GWD
HG02770	0	GWD
HG02771	103	GWD
HG02772	104	GWD
HG02773	0	GWD
HG02798	103	GWD
HG02799	102	GWD
HG02800	0	GWD
HG02804	107	GWD
HG02805	104	GWD
HG02806	0	GWD
HG02807	104	GWD
HG02808	103	GWD
HG02809	0	GWD
HG02810	103	GWD
HG02811	102	GWD
HG02812	0	GWD
HG02813	105	GWD
HG02814	104	GWD
HG02815	0	GWD
HG02816	104	GWD
HG02817	102	GWD
HG02818	0	GWD
HG02819	104	GWD
HG02820	103	GWD
HG02821	0	GWD
HG02836	105	GWD
HG02837	99	GWD
HG02838	0	GWD
HG02839	106	GWD
HG02840	106	GWD
HG02841	0	GWD
HG02851	101	GWD
HG02852	105	GWD
HG02853	0	GWD
HG02854	106	GWD
HG02855	102	GWD
HG02856	0	GWD
HG02860	102	GWD
HG02861	102	GWD
HG02862	0	GWD
HG02869	0	GWD
HG02870	102	GWD
HG02871	0	GWD
HG02878	105	GWD
HG02879	102	GWD
HG02880	0	GWD
HG02881	107	GWD
HG02882	105	GWD
HG02883	0	GWD
HG02884	106	GWD
HG02885	103	GWD
HG02886	0	GWD
HG02887	98	GWD
HG02888	103	GWD
HG02889	0	GWD
HG02890	107	GWD
HG02891	103	GWD
HG02892	0	GWD
HG02895	102	GWD
HG02896	103	GWD
HG02897	0	GWD
HG02982	104	GWD
HG02983	99	GWD
HG02984	0	GWD
HG03024	104	GWD
HG03025	103	GWD
HG03026	0	GWD
HG03027	104	GWD
HG03028	102	GWD
HG03029	0	GWD
HG03033	0	GWD
HG03034	0	GWD
HG03035	0	GWD
HG03039	105	GWD
HG03040	102	GWD
HG03041	0	GWD
HG03045	103	GWD
HG03046	104	GWD
HG03047	0	GWD
HG03048	106	GWD
HG03049	103	GWD
HG03050	0	GWD
HG03240	105	GWD
HG03241	104	GWD
HG03242	0	GWD
HG03246	103	GWD
HG03247	102	GWD
HG03248	0	GWD
HG03249	0	GWD
HG03250	0	GWD
HG03251	0	GWD
HG03258	107	GWD
HG03259	103	GWD
HG03260	0	GWD
HG03538	100	GWD
HG03539	103	GWD
HG03540	0	GWD
