POP	INS	NoOfPeople
GWD	0	67
GWD	1	0
GWD	2	0
GWD	3	0
GWD	4	0
GWD	5	0
GWD	6	0
GWD	7	0
GWD	8	0
GWD	9	0
GWD	10	0
GWD	11	2
GWD	12	6
GWD	13	5
GWD	14	16
GWD	15	22
GWD	16	25
GWD	17	18
GWD	18	15
GWD	19	3
GWD	20	3
CLM	0	57
CLM	1	0
CLM	2	0
CLM	3	0
CLM	4	0
CLM	5	0
CLM	6	0
CLM	7	0
CLM	8	0
CLM	9	0
CLM	10	2
CLM	11	6
CLM	12	10
CLM	13	26
CLM	14	20
CLM	15	14
CLM	16	7
CLM	17	5
CLM	18	2
BEB	0	65
BEB	1	0
BEB	2	0
BEB	3	0
BEB	4	0
BEB	5	0
BEB	6	0
BEB	7	0
BEB	8	0
BEB	9	0
BEB	10	0
BEB	11	7
BEB	12	9
BEB	13	12
BEB	14	13
BEB	15	16
BEB	16	16
BEB	17	6
BEB	18	1
PEL	0	45
PEL	1	0
PEL	2	0
PEL	3	0
PEL	4	0
PEL	5	0
PEL	6	0
PEL	7	0
PEL	8	0
PEL	9	0
PEL	10	3
PEL	11	7
PEL	12	10
PEL	13	24
PEL	14	19
PEL	15	18
PEL	16	4
PEL	17	1
LWK	0	19
LWK	1	0
LWK	2	0
LWK	3	0
LWK	4	0
LWK	5	0
LWK	6	0
LWK	7	0
LWK	8	0
LWK	9	0
LWK	10	0
LWK	11	3
LWK	12	6
LWK	13	7
LWK	14	6
LWK	15	22
LWK	16	16
LWK	17	17
LWK	18	11
LWK	19	8
LWK	20	2
MSL	0	44
MSL	1	0
MSL	2	0
MSL	3	0
MSL	4	0
MSL	5	0
MSL	6	0
MSL	7	0
MSL	8	0
MSL	9	0
MSL	10	0
MSL	11	3
MSL	12	5
MSL	13	13
MSL	14	12
MSL	15	8
MSL	16	21
MSL	17	11
MSL	18	9
MSL	19	1
MSL	20	2
GBR	0	21
GBR	1	0
GBR	2	0
GBR	3	0
GBR	4	0
GBR	5	0
GBR	6	0
GBR	7	0
GBR	8	0
GBR	9	0
GBR	10	4
GBR	11	6
GBR	12	16
GBR	13	14
GBR	14	19
GBR	15	13
GBR	16	8
GBR	17	6
GBR	18	1
IBS	0	56
IBS	1	0
IBS	2	0
IBS	3	0
IBS	4	0
IBS	5	0
IBS	6	0
IBS	7	0
IBS	8	2
IBS	9	0
IBS	10	9
IBS	11	6
IBS	12	21
IBS	13	30
IBS	14	16
IBS	15	16
IBS	16	6
IBS	17	1
ASW	0	53
ASW	1	0
ASW	2	0
ASW	3	0
ASW	4	0
ASW	5	0
ASW	6	0
ASW	7	0
ASW	8	1
ASW	9	0
ASW	10	1
ASW	11	2
ASW	12	4
ASW	13	6
ASW	14	3
ASW	15	15
ASW	16	10
ASW	17	11
ASW	18	3
ASW	19	3
ASW	20	1
FIN	0	6
FIN	1	0
FIN	2	0
FIN	3	0
FIN	4	0
FIN	5	0
FIN	6	0
FIN	7	0
FIN	8	0
FIN	9	0
FIN	10	2
FIN	11	12
FIN	12	9
FIN	13	24
FIN	14	28
FIN	15	10
FIN	16	9
FIN	17	5
FIN	18	1
TSI	0	5
TSI	1	0
TSI	2	0
TSI	3	0
TSI	4	0
TSI	5	0
TSI	6	0
TSI	7	0
TSI	8	0
TSI	9	1
TSI	10	7
TSI	11	12
TSI	12	22
TSI	13	25
TSI	14	18
TSI	15	13
TSI	16	8
TSI	17	2
KHV	0	24
KHV	1	0
KHV	2	0
KHV	3	0
KHV	4	0
KHV	5	0
KHV	6	0
KHV	7	0
KHV	8	0
KHV	9	0
KHV	10	1
KHV	11	4
KHV	12	5
KHV	13	12
KHV	14	23
KHV	15	25
KHV	16	19
KHV	17	10
KHV	18	2
CEU	0	89
CEU	1	0
CEU	2	0
CEU	3	0
CEU	4	0
CEU	5	0
CEU	6	0
CEU	7	0
CEU	8	0
CEU	9	2
CEU	10	0
CEU	11	7
CEU	12	9
CEU	13	24
CEU	14	24
CEU	15	19
CEU	16	4
CEU	17	5
CEU	18	1
YRI	0	89
YRI	1	0
YRI	2	0
YRI	3	0
YRI	4	0
YRI	5	0
YRI	6	0
YRI	7	0
YRI	8	0
YRI	9	1
YRI	10	0
YRI	11	3
YRI	12	3
YRI	13	11
YRI	14	11
YRI	15	20
YRI	16	20
YRI	17	12
YRI	18	11
YRI	19	4
YRI	20	0
YRI	21	0
YRI	22	1
CHB	0	11
CHB	1	0
CHB	2	0
CHB	3	0
CHB	4	0
CHB	5	0
CHB	6	0
CHB	7	0
CHB	8	0
CHB	9	1
CHB	10	2
CHB	11	2
CHB	12	8
CHB	13	20
CHB	14	22
CHB	15	22
CHB	16	16
CHB	17	3
CHB	18	1
CHB	19	1
STU	0	25
STU	1	0
STU	2	0
STU	3	0
STU	4	0
STU	5	0
STU	6	0
STU	7	0
STU	8	0
STU	9	1
STU	10	2
STU	11	3
STU	12	10
STU	13	20
STU	14	31
STU	15	26
STU	16	8
STU	17	0
STU	18	3
CHS	0	63
CHS	1	0
CHS	2	0
CHS	3	0
CHS	4	0
CHS	5	0
CHS	6	0
CHS	7	0
CHS	8	0
CHS	9	0
CHS	10	1
CHS	11	6
CHS	12	15
CHS	13	17
CHS	14	22
CHS	15	23
CHS	16	16
CHS	17	9
CHS	18	1
ESN	0	76
ESN	1	0
ESN	2	0
ESN	3	0
ESN	4	0
ESN	5	0
ESN	6	0
ESN	7	0
ESN	8	0
ESN	9	0
ESN	10	0
ESN	11	1
ESN	12	2
ESN	13	6
ESN	14	11
ESN	15	26
ESN	16	16
ESN	17	22
ESN	18	11
ESN	19	2
ESN	20	1
ACB	0	27
ACB	1	0
ACB	2	0
ACB	3	0
ACB	4	0
ACB	5	0
ACB	6	0
ACB	7	0
ACB	8	0
ACB	9	0
ACB	10	0
ACB	11	1
ACB	12	3
ACB	13	9
ACB	14	11
ACB	15	20
ACB	16	24
ACB	17	15
ACB	18	11
ACB	19	2
ACB	20	1
GIH	0	7
GIH	1	0
GIH	2	0
GIH	3	0
GIH	4	0
GIH	5	0
GIH	6	0
GIH	7	0
GIH	8	0
GIH	9	1
GIH	10	1
GIH	11	1
GIH	12	19
GIH	13	21
GIH	14	27
GIH	15	20
GIH	16	14
GIH	17	3
PJL	0	62
PJL	1	0
PJL	2	0
PJL	3	0
PJL	4	0
PJL	5	0
PJL	6	0
PJL	7	0
PJL	8	0
PJL	9	0
PJL	10	2
PJL	11	5
PJL	12	11
PJL	13	23
PJL	14	22
PJL	15	16
PJL	16	13
PJL	17	5
MXL	0	43
MXL	1	0
MXL	2	0
MXL	3	0
MXL	4	0
MXL	5	0
MXL	6	0
MXL	7	0
MXL	8	0
MXL	9	0
MXL	10	3
MXL	11	4
MXL	12	15
MXL	13	9
MXL	14	10
MXL	15	16
MXL	16	5
MXL	17	2
MXL	18	1
ITU	0	15
ITU	1	0
ITU	2	0
ITU	3	0
ITU	4	0
ITU	5	0
ITU	6	0
ITU	7	0
ITU	8	0
ITU	9	0
ITU	10	3
ITU	11	6
ITU	12	12
ITU	13	22
ITU	14	21
ITU	15	15
ITU	16	14
ITU	17	6
ITU	18	4
ITU	19	1
CDX	0	11
CDX	1	0
CDX	2	0
CDX	3	0
CDX	4	0
CDX	5	0
CDX	6	0
CDX	7	0
CDX	8	0
CDX	9	0
CDX	10	0
CDX	11	7
CDX	12	3
CDX	13	12
CDX	14	27
CDX	15	29
CDX	16	13
CDX	17	4
CDX	18	3
CDX	19	0
CDX	20	1
JPT	0	13
JPT	1	0
JPT	2	0
JPT	3	0
JPT	4	0
JPT	5	0
JPT	6	0
JPT	7	0
JPT	8	0
JPT	9	1
JPT	10	3
JPT	11	2
JPT	12	8
JPT	13	11
JPT	14	23
JPT	15	26
JPT	16	12
JPT	17	5
JPT	18	2
PUR	0	54
PUR	1	0
PUR	2	0
PUR	3	0
PUR	4	0
PUR	5	0
PUR	6	0
PUR	7	0
PUR	8	0
PUR	9	1
PUR	10	0
PUR	11	8
PUR	12	9
PUR	13	19
PUR	14	22
PUR	15	16
PUR	16	14
PUR	17	6
PUR	18	1
PUR	19	0
PUR	20	0
PUR	21	1
