SampleID	Insertions	POP
HG02461	18	GWD
HG02462	20	GWD
HG02463	0	GWD
HG02464	11	GWD
HG02465	14	GWD
HG02466	0	GWD
HG02561	14	GWD
HG02562	13	GWD
HG02563	0	GWD
HG02567	0	GWD
HG02568	17	GWD
HG02569	0	GWD
HG02570	16	GWD
HG02571	16	GWD
HG02572	0	GWD
HG02573	16	GWD
HG02574	15	GWD
HG02575	0	GWD
HG02582	15	GWD
HG02583	16	GWD
HG02584	0	GWD
HG02585	19	GWD
HG02586	18	GWD
HG02587	0	GWD
HG02588	13	GWD
HG02589	20	GWD
HG02590	0	GWD
HG02594	16	GWD
HG02595	14	GWD
HG02596	0	GWD
HG02610	14	GWD
HG02611	15	GWD
HG02612	0	GWD
HG02613	14	GWD
HG02614	17	GWD
HG02615	0	GWD
HG02620	18	GWD
HG02621	14	GWD
HG02622	0	GWD
HG02623	17	GWD
HG02624	13	GWD
HG02625	0	GWD
HG02628	12	GWD
HG02629	17	GWD
HG02630	0	GWD
HG02634	16	GWD
HG02635	18	GWD
HG02636	0	GWD
HG02642	18	GWD
HG02643	15	GWD
HG02644	0	GWD
HG02645	15	GWD
HG02646	17	GWD
HG02647	0	GWD
HG02666	17	GWD
HG02667	16	GWD
HG02668	0	GWD
HG02675	15	GWD
HG02676	14	GWD
HG02677	0	GWD
HG02678	16	GWD
HG02679	17	GWD
HG02680	0	GWD
HG02702	18	GWD
HG02703	16	GWD
HG02704	0	GWD
HG02715	14	GWD
HG02716	15	GWD
HG02717	0	GWD
HG02721	15	GWD
HG02722	17	GWD
HG02723	0	GWD
HG02756	16	GWD
HG02757	12	GWD
HG02758	0	GWD
HG02759	18	GWD
HG02760	14	GWD
HG02761	0	GWD
HG02762	0	GWD
HG02763	12	GWD
HG02764	0	GWD
HG02768	20	GWD
HG02769	14	GWD
HG02770	0	GWD
HG02771	16	GWD
HG02772	16	GWD
HG02773	0	GWD
HG02798	16	GWD
HG02799	14	GWD
HG02800	0	GWD
HG02804	18	GWD
HG02805	17	GWD
HG02806	0	GWD
HG02807	15	GWD
HG02808	16	GWD
HG02809	0	GWD
HG02810	15	GWD
HG02811	15	GWD
HG02812	0	GWD
HG02813	17	GWD
HG02814	17	GWD
HG02815	0	GWD
HG02816	16	GWD
HG02817	14	GWD
HG02818	0	GWD
HG02819	16	GWD
HG02820	15	GWD
HG02821	0	GWD
HG02836	16	GWD
HG02837	12	GWD
HG02838	0	GWD
HG02839	18	GWD
HG02840	19	GWD
HG02841	0	GWD
HG02851	13	GWD
HG02852	17	GWD
HG02853	0	GWD
HG02854	18	GWD
HG02855	15	GWD
HG02856	0	GWD
HG02860	14	GWD
HG02861	15	GWD
HG02862	0	GWD
HG02869	0	GWD
HG02870	15	GWD
HG02871	0	GWD
HG02878	17	GWD
HG02879	14	GWD
HG02880	0	GWD
HG02881	19	GWD
HG02882	18	GWD
HG02883	0	GWD
HG02884	16	GWD
HG02885	16	GWD
HG02886	0	GWD
HG02887	11	GWD
HG02888	16	GWD
HG02889	0	GWD
HG02890	18	GWD
HG02891	15	GWD
HG02892	0	GWD
HG02895	13	GWD
HG02896	16	GWD
HG02897	0	GWD
HG02982	16	GWD
HG02983	12	GWD
HG02984	0	GWD
HG03024	16	GWD
HG03025	15	GWD
HG03026	0	GWD
HG03027	16	GWD
HG03028	15	GWD
HG03029	0	GWD
HG03033	0	GWD
HG03034	0	GWD
HG03035	0	GWD
HG03039	17	GWD
HG03040	15	GWD
HG03041	0	GWD
HG03045	15	GWD
HG03046	17	GWD
HG03047	0	GWD
HG03048	17	GWD
HG03049	15	GWD
HG03050	0	GWD
HG03240	17	GWD
HG03241	17	GWD
HG03242	0	GWD
HG03246	15	GWD
HG03247	14	GWD
HG03248	0	GWD
HG03249	0	GWD
HG03250	0	GWD
HG03251	0	GWD
HG03258	18	GWD
HG03259	16	GWD
HG03260	0	GWD
HG03538	12	GWD
HG03539	14	GWD
HG03540	0	GWD
HG02461	18	GWD
HG02461	18	GWD
HG01112	13	CLM
HG01113	11	CLM
HG01114	0	CLM
HG01119	11	CLM
HG01121	18	CLM
HG01122	13	CLM
HG01123	0	CLM
HG01124	14	CLM
HG01125	16	CLM
HG01126	0	CLM
HG01130	16	CLM
HG01131	17	CLM
HG01133	15	CLM
HG01134	13	CLM
HG01135	0	CLM
HG01136	17	CLM
HG01137	15	CLM
HG01138	0	CLM
HG01139	14	CLM
HG01140	15	CLM
HG01141	0	CLM
HG01142	14	CLM
HG01148	12	CLM
HG01149	13	CLM
HG01150	0	CLM
HG01250	14	CLM
HG01251	15	CLM
HG01252	0	CLM
HG01253	14	CLM
HG01254	10	CLM
HG01255	0	CLM
HG01256	13	CLM
HG01257	13	CLM
HG01258	0	CLM
HG01259	13	CLM
HG01260	13	CLM
HG01261	0	CLM
HG01269	15	CLM
HG01271	13	CLM
HG01272	12	CLM
HG01273	0	CLM
HG01274	0	CLM
HG01275	16	CLM
HG01276	0	CLM
HG01277	13	CLM
HG01278	0	CLM
HG01279	0	CLM
HG01280	14	CLM
HG01281	13	CLM
HG01284	15	CLM
HG01341	13	CLM
HG01342	14	CLM
HG01343	0	CLM
HG01344	12	CLM
HG01345	12	CLM
HG01346	0	CLM
HG01347	0	CLM
HG01348	13	CLM
HG01349	0	CLM
HG01350	15	CLM
HG01351	17	CLM
HG01352	0	CLM
HG01353	14	CLM
HG01354	12	CLM
HG01355	0	CLM
HG01356	12	CLM
HG01357	16	CLM
HG01358	0	CLM
HG01359	14	CLM
HG01360	13	CLM
HG01361	0	CLM
HG01362	13	CLM
HG01363	15	CLM
HG01364	0	CLM
HG01365	13	CLM
HG01366	0	CLM
HG01367	0	CLM
HG01369	15	CLM
HG01372	14	CLM
HG01374	15	CLM
HG01375	13	CLM
HG01376	0	CLM
HG01377	14	CLM
HG01378	14	CLM
HG01379	0	CLM
HG01383	14	CLM
HG01384	14	CLM
HG01385	0	CLM
HG01389	10	CLM
HG01390	12	CLM
HG01391	0	CLM
HG01431	15	CLM
HG01432	16	CLM
HG01433	0	CLM
HG01435	13	CLM
HG01437	0	CLM
HG01438	14	CLM
HG01439	0	CLM
HG01440	17	CLM
HG01441	12	CLM
HG01442	0	CLM
HG01443	13	CLM
HG01444	16	CLM
HG01445	0	CLM
HG01447	13	CLM
HG01452	0	CLM
HG01453	0	CLM
HG01454	0	CLM
HG01455	15	CLM
HG01456	11	CLM
HG01457	0	CLM
HG01459	15	CLM
HG01461	16	CLM
HG01462	11	CLM
HG01463	0	CLM
HG01464	18	CLM
HG01465	13	CLM
HG01466	0	CLM
HG01468	13	CLM
HG01471	0	CLM
HG01473	0	CLM
HG01474	14	CLM
HG01477	0	CLM
HG01479	12	CLM
HG01480	0	CLM
HG01481	0	CLM
HG01482	0	CLM
HG01483	0	CLM
HG01484	0	CLM
HG01485	13	CLM
HG01486	17	CLM
HG01487	0	CLM
HG01488	14	CLM
HG01489	14	CLM
HG01490	0	CLM
HG01491	11	CLM
HG01492	11	CLM
HG01493	0	CLM
HG01494	12	CLM
HG01495	0	CLM
HG01496	0	CLM
HG01497	14	CLM
HG01498	13	CLM
HG01499	0	CLM
HG01550	14	CLM
HG01551	13	CLM
HG01552	0	CLM
HG01556	15	CLM
HG01112	13	CLM
HG03006	17	BEB
HG03007	14	BEB
HG03008	0	BEB
HG03009	12	BEB
HG03012	15	BEB
HG03585	16	BEB
HG03587	0	BEB
HG03589	13	BEB
HG03590	0	BEB
HG03593	15	BEB
HG03594	0	BEB
HG03595	0	BEB
HG03596	0	BEB
HG03598	12	BEB
HG03599	0	BEB
HG03600	16	BEB
HG03602	0	BEB
HG03603	14	BEB
HG03604	11	BEB
HG03605	0	BEB
HG03606	0	BEB
HG03607	15	BEB
HG03611	17	BEB
HG03615	14	BEB
HG03616	13	BEB
HG03617	0	BEB
HG03793	13	BEB
HG03794	0	BEB
HG03795	0	BEB
HG03796	16	BEB
HG03797	0	BEB
HG03798	0	BEB
HG03799	0	BEB
HG03800	12	BEB
HG03801	0	BEB
HG03802	16	BEB
HG03803	13	BEB
HG03804	0	BEB
HG03805	0	BEB
HG03806	0	BEB
HG03807	0	BEB
HG03808	17	BEB
HG03809	16	BEB
HG03811	0	BEB
HG03812	15	BEB
HG03813	0	BEB
HG03814	16	BEB
HG03815	12	BEB
HG03816	0	BEB
HG03817	13	BEB
HG03821	11	BEB
HG03822	0	BEB
HG03823	12	BEB
HG03824	16	BEB
HG03825	0	BEB
HG03826	15	BEB
HG03829	13	BEB
HG03830	16	BEB
HG03831	0	BEB
HG03832	14	BEB
HG03833	12	BEB
HG03834	0	BEB
HG03901	0	BEB
HG03902	13	BEB
HG03903	0	BEB
HG03904	0	BEB
HG03905	14	BEB
HG03906	0	BEB
HG03907	0	BEB
HG03908	0	BEB
HG03909	0	BEB
HG03910	16	BEB
HG03911	16	BEB
HG03913	15	BEB
HG03914	14	BEB
HG03915	0	BEB
HG03916	15	BEB
HG03917	16	BEB
HG03919	12	BEB
HG03920	14	BEB
HG03922	15	BEB
HG03924	0	BEB
HG03925	0	BEB
HG03926	0	BEB
HG03927	0	BEB
HG03928	16	BEB
HG03929	0	BEB
HG03930	0	BEB
HG03931	12	BEB
HG03934	16	BEB
HG03937	14	BEB
HG03939	0	BEB
HG03940	16	BEB
HG03941	17	BEB
HG03942	0	BEB
HG04128	0	BEB
HG04131	11	BEB
HG04132	0	BEB
HG04133	0	BEB
HG04134	13	BEB
HG04135	0	BEB
HG04136	0	BEB
HG04140	13	BEB
HG04141	13	BEB
HG04142	0	BEB
HG04144	16	BEB
HG04146	14	BEB
HG04147	0	BEB
HG04148	0	BEB
HG04149	0	BEB
HG04150	0	BEB
HG04151	0	BEB
HG04152	11	BEB
HG04153	14	BEB
HG04155	11	BEB
HG04156	16	BEB
HG04157	0	BEB
HG04158	12	BEB
HG04159	15	BEB
HG04160	0	BEB
HG04161	15	BEB
HG04162	14	BEB
HG04164	11	BEB
HG04171	15	BEB
HG04173	15	BEB
HG04174	0	BEB
HG04175	0	BEB
HG04176	13	BEB
HG04177	11	BEB
HG04180	14	BEB
HG04181	0	BEB
HG04182	15	BEB
HG04183	17	BEB
HG04184	0	BEB
HG04185	13	BEB
HG04186	15	BEB
HG04187	0	BEB
HG04188	18	BEB
HG04189	15	BEB
HG04191	0	BEB
HG04192	0	BEB
HG04193	0	BEB
HG04194	14	BEB
HG04195	15	BEB
HG03006	17	BEB
HG01565	13	PEL
HG01566	14	PEL
HG01567	0	PEL
HG01571	15	PEL
HG01572	14	PEL
HG01573	0	PEL
HG01577	15	PEL
HG01578	13	PEL
HG01579	0	PEL
HG01892	16	PEL
HG01893	11	PEL
HG01898	0	PEL
HG01917	12	PEL
HG01918	16	PEL
HG01919	0	PEL
HG01920	11	PEL
HG01921	13	PEL
HG01922	0	PEL
HG01923	12	PEL
HG01924	12	PEL
HG01925	0	PEL
HG01926	13	PEL
HG01927	10	PEL
HG01928	0	PEL
HG01932	10	PEL
