POP	INS	NoOfPeople
GWD	0	67
GWD	1	0
GWD	2	0
GWD	3	0
GWD	4	0
GWD	5	0
GWD	6	0
GWD	7	0
GWD	8	0
GWD	9	5
GWD	10	13
GWD	11	19
GWD	12	29
GWD	13	27
GWD	14	17
GWD	15	4
GWD	16	1
CLM	0	57
CLM	1	0
CLM	2	0
CLM	3	0
CLM	4	0
CLM	5	0
CLM	6	0
CLM	7	0
CLM	8	2
CLM	9	3
CLM	10	15
CLM	11	28
CLM	12	25
CLM	13	13
CLM	14	6
BEB	0	65
BEB	1	0
BEB	2	0
BEB	3	0
BEB	4	0
BEB	5	0
BEB	6	0
BEB	7	0
BEB	8	2
BEB	9	7
BEB	10	11
BEB	11	17
BEB	12	17
BEB	13	18
BEB	14	8
PEL	0	45
PEL	1	0
PEL	2	0
PEL	3	0
PEL	4	0
PEL	5	0
PEL	6	0
PEL	7	0
PEL	8	1
PEL	9	5
PEL	10	15
PEL	11	23
PEL	12	26
PEL	13	12
PEL	14	4
LWK	0	19
LWK	1	0
LWK	2	0
LWK	3	0
LWK	4	0
LWK	5	0
LWK	6	0
LWK	7	0
LWK	8	1
LWK	9	2
LWK	10	9
LWK	11	14
LWK	12	21
LWK	13	29
LWK	14	16
LWK	15	5
LWK	16	1
MSL	0	44
MSL	1	0
MSL	2	0
MSL	3	0
MSL	4	0
MSL	5	0
MSL	6	0
MSL	7	1
MSL	8	0
MSL	9	5
MSL	10	9
MSL	11	22
MSL	12	20
MSL	13	14
MSL	14	13
MSL	15	1
GBR	0	21
GBR	1	0
GBR	2	0
GBR	3	0
GBR	4	0
GBR	5	0
GBR	6	0
GBR	7	0
GBR	8	2
GBR	9	7
GBR	10	13
GBR	11	22
GBR	12	29
GBR	13	8
GBR	14	6
IBS	0	56
IBS	1	0
IBS	2	0
IBS	3	0
IBS	4	0
IBS	5	0
IBS	6	0
IBS	7	2
IBS	8	2
IBS	9	12
IBS	10	18
IBS	11	29
IBS	12	28
IBS	13	12
IBS	14	3
IBS	15	1
ASW	0	53
ASW	1	0
ASW	2	0
ASW	3	0
ASW	4	0
ASW	5	0
ASW	6	0
ASW	7	1
ASW	8	0
ASW	9	1
ASW	10	12
ASW	11	8
ASW	12	18
ASW	13	9
ASW	14	5
ASW	15	6
FIN	0	6
FIN	1	0
FIN	2	0
FIN	3	0
FIN	4	0
FIN	5	0
FIN	6	0
FIN	7	0
FIN	8	1
FIN	9	8
FIN	10	18
FIN	11	29
FIN	12	25
FIN	13	14
FIN	14	3
FIN	15	2
TSI	0	5
TSI	1	0
TSI	2	0
TSI	3	0
TSI	4	0
TSI	5	0
TSI	6	0
TSI	7	0
TSI	8	2
TSI	9	10
TSI	10	26
TSI	11	29
TSI	12	31
TSI	13	9
TSI	14	1
KHV	0	24
KHV	1	0
KHV	2	0
KHV	3	0
KHV	4	0
KHV	5	0
KHV	6	0
KHV	7	0
KHV	8	1
KHV	9	3
KHV	10	8
KHV	11	21
KHV	12	27
KHV	13	26
KHV	14	13
KHV	15	2
CEU	0	89
CEU	1	0
CEU	2	0
CEU	3	0
CEU	4	0
CEU	5	0
CEU	6	0
CEU	7	0
CEU	8	4
CEU	9	0
CEU	10	15
CEU	11	26
CEU	12	31
CEU	13	13
CEU	14	5
CEU	15	1
YRI	0	89
YRI	1	0
YRI	2	0
YRI	3	0
YRI	4	0
YRI	5	0
YRI	6	1
YRI	7	0
YRI	8	3
YRI	9	2
YRI	10	12
YRI	11	20
YRI	12	18
YRI	13	26
YRI	14	9
YRI	15	5
YRI	16	1
CHB	0	11
CHB	1	0
CHB	2	0
CHB	3	0
CHB	4	0
CHB	5	0
CHB	6	0
CHB	7	0
CHB	8	3
CHB	9	5
CHB	10	14
CHB	11	24
CHB	12	23
CHB	13	25
CHB	14	2
CHB	15	2
STU	0	25
STU	1	0
STU	2	0
STU	3	0
STU	4	0
STU	5	0
STU	6	0
STU	7	0
STU	8	4
STU	9	4
STU	10	14
STU	11	31
STU	12	32
STU	13	15
STU	14	3
STU	15	1
CHS	0	63
CHS	1	0
CHS	2	0
CHS	3	0
CHS	4	0
CHS	5	0
CHS	6	0
CHS	7	0
CHS	8	0
CHS	9	10
CHS	10	17
CHS	11	20
CHS	12	32
CHS	13	18
CHS	14	10
CHS	15	3
ESN	0	76
ESN	1	0
ESN	2	0
ESN	3	0
ESN	4	0
ESN	5	0
ESN	6	0
ESN	7	1
ESN	8	0
ESN	9	1
ESN	10	8
ESN	11	18
ESN	12	25
ESN	13	33
ESN	14	9
ESN	15	3
ACB	0	27
ACB	1	0
ACB	2	0
ACB	3	0
ACB	4	0
ACB	5	0
ACB	6	0
ACB	7	0
ACB	8	0
ACB	9	6
ACB	10	7
ACB	11	17
ACB	12	23
ACB	13	25
ACB	14	16
ACB	15	3
GIH	0	7
GIH	1	0
GIH	2	0
GIH	3	0
GIH	4	0
GIH	5	0
GIH	6	0
GIH	7	0
GIH	8	1
GIH	9	6
GIH	10	17
GIH	11	24
GIH	12	39
GIH	13	14
GIH	14	6
PJL	0	62
PJL	1	0
PJL	2	0
PJL	3	0
PJL	4	0
PJL	5	0
PJL	6	0
PJL	7	0
PJL	8	3
PJL	9	9
PJL	10	17
PJL	11	26
PJL	12	24
PJL	13	15
PJL	14	3
MXL	0	43
MXL	1	0
MXL	2	0
MXL	3	0
MXL	4	0
MXL	5	0
MXL	6	0
MXL	7	0
MXL	8	0
MXL	9	8
MXL	10	15
MXL	11	15
MXL	12	10
MXL	13	15
MXL	14	2
ITU	0	15
ITU	1	0
ITU	2	0
ITU	3	0
ITU	4	0
ITU	5	0
ITU	6	0
ITU	7	0
ITU	8	1
ITU	9	7
ITU	10	19
ITU	11	30
ITU	12	21
ITU	13	16
ITU	14	8
ITU	15	2
CDX	0	11
CDX	1	0
CDX	2	0
CDX	3	0
CDX	4	0
CDX	5	0
CDX	6	0
CDX	7	0
CDX	8	1
CDX	9	6
CDX	10	8
CDX	11	10
CDX	12	34
CDX	13	27
CDX	14	9
CDX	15	3
CDX	16	1
JPT	0	13
JPT	1	0
JPT	2	0
JPT	3	0
JPT	4	0
JPT	5	0
JPT	6	0
JPT	7	2
JPT	8	0
JPT	9	8
JPT	10	11
JPT	11	28
JPT	12	19
JPT	13	17
JPT	14	8
PUR	0	54
PUR	1	0
PUR	2	0
PUR	3	0
PUR	4	0
PUR	5	0
PUR	6	0
PUR	7	0
PUR	8	2
PUR	9	6
PUR	10	14
PUR	11	23
PUR	12	32
PUR	13	12
PUR	14	6
PUR	15	2
