SampleID	Insertions	POP
HG02461	15	GWD
HG02462	15	GWD
HG02463	0	GWD
HG02464	11	GWD
HG02465	10	GWD
HG02466	0	GWD
HG02561	12	GWD
HG02562	10	GWD
HG02563	0	GWD
HG02567	0	GWD
HG02568	13	GWD
HG02569	0	GWD
HG02570	14	GWD
HG02571	12	GWD
HG02572	0	GWD
HG02573	14	GWD
HG02574	11	GWD
HG02575	0	GWD
HG02582	11	GWD
HG02583	13	GWD
HG02584	0	GWD
HG02585	14	GWD
HG02586	14	GWD
HG02587	0	GWD
HG02588	9	GWD
HG02589	14	GWD
HG02590	0	GWD
HG02594	12	GWD
HG02595	12	GWD
HG02596	0	GWD
HG02610	10	GWD
HG02611	12	GWD
HG02612	0	GWD
HG02613	11	GWD
HG02614	13	GWD
HG02615	0	GWD
HG02620	12	GWD
HG02621	12	GWD
HG02622	0	GWD
HG02623	12	GWD
HG02624	10	GWD
HG02625	0	GWD
HG02628	9	GWD
HG02629	14	GWD
HG02630	0	GWD
HG02634	13	GWD
HG02635	13	GWD
HG02636	0	GWD
HG02642	13	GWD
HG02643	13	GWD
HG02644	0	GWD
HG02645	12	GWD
HG02646	12	GWD
HG02647	0	GWD
HG02666	13	GWD
HG02667	12	GWD
HG02668	0	GWD
HG02675	11	GWD
HG02676	10	GWD
HG02677	0	GWD
HG02678	9	GWD
HG02679	13	GWD
HG02680	0	GWD
HG02702	13	GWD
HG02703	11	GWD
HG02704	0	GWD
HG02715	12	GWD
HG02716	12	GWD
HG02717	0	GWD
HG02721	11	GWD
HG02722	12	GWD
HG02723	0	GWD
HG02756	10	GWD
HG02757	10	GWD
HG02758	0	GWD
HG02759	14	GWD
HG02760	12	GWD
HG02761	0	GWD
HG02762	0	GWD
HG02763	10	GWD
HG02764	0	GWD
HG02768	16	GWD
HG02769	11	GWD
HG02770	0	GWD
HG02771	13	GWD
HG02772	12	GWD
HG02773	0	GWD
HG02798	12	GWD
HG02799	11	GWD
HG02800	0	GWD
HG02804	14	GWD
HG02805	13	GWD
HG02806	0	GWD
HG02807	13	GWD
HG02808	12	GWD
HG02809	0	GWD
HG02810	13	GWD
HG02811	10	GWD
HG02812	0	GWD
HG02813	11	GWD
