POP	INS	NoOfPeople
GWD	0	67
GWD	1	0
GWD	2	0
GWD	3	0
GWD	4	0
GWD	5	0
GWD	6	0
GWD	7	0
GWD	8	4
GWD	9	6
GWD	10	19
GWD	11	33
GWD	12	30
GWD	13	17
GWD	14	5
GWD	15	1
CLM	0	57
CLM	1	0
CLM	2	0
CLM	3	0
CLM	4	0
CLM	5	0
CLM	6	0
CLM	7	2
CLM	8	2
CLM	9	16
CLM	10	32
CLM	11	24
CLM	12	12
CLM	13	4
BEB	0	65
BEB	1	0
BEB	2	0
BEB	3	0
BEB	4	0
BEB	5	0
BEB	6	0
BEB	7	0
BEB	8	6
BEB	9	9
BEB	10	17
BEB	11	19
BEB	12	20
BEB	13	9
PEL	0	45
PEL	1	0
PEL	2	0
PEL	3	0
PEL	4	0
PEL	5	0
PEL	6	0
PEL	7	0
PEL	8	5
PEL	9	12
PEL	10	32
PEL	11	19
PEL	12	17
PEL	13	1
LWK	0	19
LWK	1	0
LWK	2	0
LWK	3	0
LWK	4	0
LWK	5	0
LWK	6	0
LWK	7	1
LWK	8	1
LWK	9	4
LWK	10	17
LWK	11	23
LWK	12	26
LWK	13	19
LWK	14	6
LWK	15	1
MSL	0	44
MSL	1	0
MSL	2	0
MSL	3	0
MSL	4	0
MSL	5	0
MSL	6	0
MSL	7	1
MSL	8	3
MSL	9	6
MSL	10	20
MSL	11	21
MSL	12	19
MSL	13	12
MSL	14	3
GBR	0	21
GBR	1	0
GBR	2	0
GBR	3	0
GBR	4	0
GBR	5	0
GBR	6	0
GBR	7	2
GBR	8	7
GBR	9	13
GBR	10	22
GBR	11	29
GBR	12	8
GBR	13	5
GBR	14	1
IBS	0	56
IBS	1	0
IBS	2	0
IBS	3	0
IBS	4	0
IBS	5	0
IBS	6	2
IBS	7	2
IBS	8	12
IBS	9	18
IBS	10	27
IBS	11	30
IBS	12	12
IBS	13	3
IBS	14	1
ASW	0	53
ASW	1	0
ASW	2	0
ASW	3	0
ASW	4	0
ASW	5	0
ASW	6	0
ASW	7	1
ASW	8	1
ASW	9	6
ASW	10	10
ASW	11	20
ASW	12	9
ASW	13	7
ASW	14	5
ASW	15	1
FIN	0	6
FIN	1	0
FIN	2	0
FIN	3	0
FIN	4	0
FIN	5	0
FIN	6	0
FIN	7	1
FIN	8	7
FIN	9	19
FIN	10	28
FIN	11	26
FIN	12	14
FIN	13	3
FIN	14	2
TSI	0	5
TSI	1	0
TSI	2	0
TSI	3	0
TSI	4	0
TSI	5	0
TSI	6	0
TSI	7	1
TSI	8	11
TSI	9	23
TSI	10	31
TSI	11	32
TSI	12	9
TSI	13	1
KHV	0	24
KHV	1	0
KHV	2	0
KHV	3	0
KHV	4	0
KHV	5	0
KHV	6	0
KHV	7	0
KHV	8	2
KHV	9	9
KHV	10	19
KHV	11	31
KHV	12	24
KHV	13	16
CEU	0	89
CEU	1	0
CEU	2	0
CEU	3	0
CEU	4	0
CEU	5	0
CEU	6	0
CEU	7	4
CEU	8	0
CEU	9	13
CEU	10	27
CEU	11	32
CEU	12	14
CEU	13	4
CEU	14	1
YRI	0	89
YRI	1	0
YRI	2	0
YRI	3	0
YRI	4	0
YRI	5	0
YRI	6	1
YRI	7	0
YRI	8	3
YRI	9	6
YRI	10	24
YRI	11	17
YRI	12	29
YRI	13	11
YRI	14	5
YRI	15	1
CHB	0	11
CHB	1	0
CHB	2	0
CHB	3	0
CHB	4	0
CHB	5	0
CHB	6	0
CHB	7	0
CHB	8	6
CHB	9	12
CHB	10	23
CHB	11	28
CHB	12	25
CHB	13	2
CHB	14	2
STU	0	25
STU	1	0
STU	2	0
STU	3	0
STU	4	0
STU	5	0
STU	6	0
STU	7	0
STU	8	5
STU	9	11
STU	10	30
STU	11	33
STU	12	18
STU	13	6
STU	14	1
CHS	0	63
CHS	1	0
CHS	2	0
CHS	3	0
CHS	4	0
CHS	5	0
CHS	6	0
CHS	7	0
CHS	8	8
CHS	9	10
CHS	10	26
CHS	11	29
CHS	12	23
CHS	13	13
CHS	14	1
ESN	0	76
ESN	1	0
ESN	2	0
ESN	3	0
ESN	4	0
ESN	5	0
ESN	6	0
ESN	7	1
ESN	8	0
ESN	9	6
ESN	10	16
ESN	11	27
ESN	12	32
ESN	13	13
ESN	14	3
ACB	0	27
ACB	1	0
ACB	2	0
ACB	3	0
ACB	4	0
ACB	5	0
ACB	6	0
ACB	7	0
ACB	8	3
ACB	9	7
ACB	10	14
ACB	11	27
ACB	12	25
ACB	13	16
ACB	14	5
GIH	0	7
GIH	1	0
GIH	2	0
GIH	3	0
GIH	4	0
GIH	5	0
GIH	6	0
GIH	7	0
GIH	8	5
GIH	9	14
GIH	10	25
GIH	11	35
GIH	12	22
GIH	13	5
GIH	14	1
PJL	0	62
PJL	1	0
PJL	2	0
PJL	3	0
PJL	4	0
PJL	5	0
PJL	6	0
PJL	7	1
PJL	8	9
PJL	9	17
PJL	10	24
PJL	11	25
PJL	12	17
PJL	13	4
MXL	0	43
MXL	1	0
MXL	2	0
MXL	3	0
MXL	4	0
MXL	5	0
MXL	6	0
MXL	7	0
MXL	8	5
MXL	9	16
MXL	10	16
MXL	11	14
MXL	12	12
MXL	13	2
ITU	0	15
ITU	1	0
ITU	2	0
ITU	3	0
ITU	4	0
ITU	5	0
ITU	6	0
ITU	7	0
ITU	8	5
ITU	9	12
ITU	10	32
ITU	11	28
ITU	12	17
ITU	13	8
ITU	14	2
CDX	0	11
CDX	1	0
CDX	2	0
CDX	3	0
CDX	4	0
CDX	5	0
CDX	6	0
CDX	7	1
CDX	8	3
CDX	9	10
CDX	10	14
CDX	11	24
CDX	12	34
CDX	13	9
CDX	14	4
JPT	0	13
JPT	1	0
JPT	2	0
JPT	3	0
JPT	4	0
JPT	5	0
JPT	6	0
JPT	7	2
JPT	8	3
JPT	9	10
JPT	10	24
JPT	11	29
JPT	12	19
JPT	13	5
JPT	14	1
PUR	0	54
PUR	1	0
PUR	2	0
PUR	3	0
PUR	4	0
PUR	5	0
PUR	6	1
PUR	7	0
PUR	8	9
PUR	9	12
PUR	10	31
PUR	11	27
PUR	12	12
PUR	13	3
PUR	14	2
