SampleID	Insertions	POP
HG02461	14	GWD
HG02462	14	GWD
HG02463	0	GWD
HG02464	10	GWD
HG02465	10	GWD
HG02466	0	GWD
HG02561	11	GWD
HG02562	9	GWD
HG02563	0	GWD
HG02567	0	GWD
HG02568	12	GWD
HG02569	0	GWD
HG02570	13	GWD
HG02571	11	GWD
HG02572	0	GWD
HG02573	13	GWD
HG02574	11	GWD
HG02575	0	GWD
HG02582	10	GWD
HG02583	12	GWD
HG02584	0	GWD
HG02585	13	GWD
HG02586	13	GWD
HG02587	0	GWD
HG02588	9	GWD
HG02589	13	GWD
HG02590	0	GWD
HG02594	11	GWD
HG02595	11	GWD
HG02596	0	GWD
HG02610	9	GWD
HG02611	11	GWD
HG02612	0	GWD
HG02613	10	GWD
HG02614	12	GWD
HG02615	0	GWD
HG02620	11	GWD
HG02621	11	GWD
HG02622	0	GWD
HG02623	11	GWD
HG02624	10	GWD
HG02625	0	GWD
HG02628	8	GWD
HG02629	14	GWD
HG02630	0	GWD
HG02634	12	GWD
HG02635	12	GWD
HG02636	0	GWD
HG02642	12	GWD
HG02643	12	GWD
HG02644	0	GWD
HG02645	11	GWD
HG02646	11	GWD
HG02647	0	GWD
HG02666	12	GWD
HG02667	11	GWD
HG02668	0	GWD
HG02675	10	GWD
HG02676	10	GWD
HG02677	0	GWD
HG02678	8	GWD
HG02679	12	GWD
HG02680	0	GWD
HG02702	12	GWD
HG02703	11	GWD
HG02704	0	GWD
HG02715	11	GWD
HG02716	11	GWD
HG02717	0	GWD
HG02721	10	GWD
HG02722	11	GWD
HG02723	0	GWD
HG02756	9	GWD
HG02757	10	GWD
HG02758	0	GWD
HG02759	13	GWD
HG02760	12	GWD
HG02761	0	GWD
HG02762	0	GWD
HG02763	9	GWD
HG02764	0	GWD
HG02768	15	GWD
HG02769	10	GWD
HG02770	0	GWD
HG02771	12	GWD
HG02772	11	GWD
HG02773	0	GWD
HG02798	11	GWD
HG02799	11	GWD
HG02800	0	GWD
HG02804	13	GWD
HG02805	12	GWD
HG02806	0	GWD
HG02807	12	GWD
HG02808	11	GWD
HG02809	0	GWD
HG02810	12	GWD
HG02811	10	GWD
HG02812	0	GWD
HG02813	11	GWD
HG02814	11	GWD
HG02815	0	GWD
HG02816	13	GWD
HG02817	11	GWD
HG02818	0	GWD
HG02819	12	GWD
HG02820	11	GWD
HG02821	0	GWD
HG02836	11	GWD
HG02837	9	GWD
HG02838	0	GWD
HG02839	12	GWD
HG02840	13	GWD
HG02841	0	GWD
HG02851	10	GWD
HG02852	13	GWD
HG02853	0	GWD
HG02854	12	GWD
HG02855	13	GWD
HG02856	0	GWD
HG02860	8	GWD
HG02861	12	GWD
HG02862	0	GWD
HG02869	0	GWD
HG02870	11	GWD
HG02871	0	GWD
HG02878	11	GWD
HG02879	10	GWD
HG02880	0	GWD
HG02881	12	GWD
HG02882	12	GWD
HG02883	0	GWD
HG02884	12	GWD
HG02885	12	GWD
HG02886	0	GWD
HG02887	8	GWD
HG02888	11	GWD
HG02889	0	GWD
HG02890	13	GWD
HG02891	13	GWD
HG02892	0	GWD
HG02895	10	GWD
HG02896	13	GWD
HG02897	0	GWD
HG02982	12	GWD
HG02983	10	GWD
HG02984	0	GWD
HG03024	12	GWD
HG03025	10	GWD
HG03026	0	GWD
HG03027	13	GWD
HG03028	11	GWD
HG03029	0	GWD
HG03033	0	GWD
HG03034	0	GWD
HG03035	0	GWD
HG03039	13	GWD
HG03040	10	GWD
HG03041	0	GWD
HG03045	13	GWD
HG03046	12	GWD
HG03047	0	GWD
HG03048	12	GWD
HG03049	10	GWD
HG03050	0	GWD
HG03240	12	GWD
HG03241	12	GWD
HG03242	0	GWD
HG03246	11	GWD
HG03247	10	GWD
HG03248	0	GWD
HG03249	0	GWD
HG03250	0	GWD
HG03251	0	GWD
HG03258	12	GWD
HG03259	11	GWD
HG03260	0	GWD
HG03538	11	GWD
HG03539	11	GWD
HG03540	0	GWD
HG02461	14	GWD
HG02461	14	GWD
HG01112	10	CLM
HG01113	9	CLM
HG01114	0	CLM
HG01119	9	CLM
HG01121	12	CLM
HG01122	10	CLM
HG01123	0	CLM
HG01124	10	CLM
HG01125	11	CLM
HG01126	0	CLM
HG01130	12	CLM
HG01131	10	CLM
HG01133	12	CLM
HG01134	12	CLM
HG01135	0	CLM
HG01136	13	CLM
HG01137	10	CLM
HG01138	0	CLM
HG01139	10	CLM
HG01140	11	CLM
HG01141	0	CLM
HG01142	11	CLM
HG01148	10	CLM
HG01149	10	CLM
HG01150	0	CLM
HG01250	9	CLM
HG01251	11	CLM
HG01252	0	CLM
HG01253	11	CLM
HG01254	7	CLM
HG01255	0	CLM
HG01256	10	CLM
HG01257	11	CLM
HG01258	0	CLM
HG01259	9	CLM
HG01260	10	CLM
HG01261	0	CLM
HG01269	11	CLM
HG01271	11	CLM
HG01272	10	CLM
HG01273	0	CLM
HG01274	0	CLM
HG01275	11	CLM
HG01276	0	CLM
HG01277	10	CLM
HG01278	0	CLM
HG01279	0	CLM
HG01280	9	CLM
HG01281	10	CLM
HG01284	11	CLM
HG01341	10	CLM
HG01342	10	CLM
HG01343	0	CLM
HG01344	10	CLM
HG01345	9	CLM
HG01346	0	CLM
HG01347	0	CLM
HG01348	11	CLM
HG01349	0	CLM
HG01350	10	CLM
HG01351	12	CLM
HG01352	0	CLM
HG01353	11	CLM
HG01354	9	CLM
HG01355	0	CLM
HG01356	11	CLM
HG01357	12	CLM
HG01358	0	CLM
HG01359	13	CLM
HG01360	9	CLM
HG01361	0	CLM
HG01362	10	CLM
HG01363	12	CLM
HG01364	0	CLM
HG01365	10	CLM
HG01366	0	CLM
HG01367	0	CLM
HG01369	12	CLM
HG01372	11	CLM
HG01374	11	CLM
HG01375	10	CLM
HG01376	0	CLM
HG01377	11	CLM
HG01378	9	CLM
HG01379	0	CLM
HG01383	11	CLM
HG01384	11	CLM
HG01385	0	CLM
HG01389	7	CLM
HG01390	11	CLM
HG01391	0	CLM
HG01431	10	CLM
HG01432	12	CLM
HG01433	0	CLM
HG01435	9	CLM
HG01437	0	CLM
HG01438	10	CLM
HG01439	0	CLM
HG01440	12	CLM
HG01441	10	CLM
HG01442	0	CLM
HG01443	10	CLM
HG01444	13	CLM
HG01445	0	CLM
HG01447	10	CLM
HG01452	0	CLM
HG01453	0	CLM
HG01454	0	CLM
HG01455	11	CLM
HG01456	8	CLM
HG01457	0	CLM
HG01459	11	CLM
HG01461	11	CLM
HG01462	9	CLM
HG01463	0	CLM
HG01464	10	CLM
HG01465	10	CLM
HG01466	0	CLM
HG01468	10	CLM
HG01471	0	CLM
HG01473	0	CLM
HG01474	11	CLM
HG01477	0	CLM
HG01479	10	CLM
HG01480	0	CLM
HG01481	0	CLM
HG01482	0	CLM
HG01483	0	CLM
HG01484	0	CLM
HG01485	12	CLM
HG01486	13	CLM
HG01487	0	CLM
HG01488	10	CLM
HG01489	9	CLM
HG01490	0	CLM
HG01491	9	CLM
HG01492	9	CLM
HG01493	0	CLM
HG01494	9	CLM
HG01495	0	CLM
HG01496	0	CLM
HG01497	9	CLM
HG01498	10	CLM
HG01499	0	CLM
HG01550	12	CLM
HG01551	8	CLM
HG01552	0	CLM
HG01556	11	CLM
HG01112	10	CLM
HG03006	12	BEB
HG03007	11	BEB
HG03008	0	BEB
HG03009	10	BEB
HG03012	11	BEB
HG03585	12	BEB
HG03587	0	BEB
HG03589	11	BEB
HG03590	0	BEB
HG03593	10	BEB
HG03594	0	BEB
HG03595	0	BEB
HG03596	0	BEB
HG03598	9	BEB
HG03599	0	BEB
HG03600	12	BEB
HG03602	0	BEB
HG03603	11	BEB
HG03604	9	BEB
HG03605	0	BEB
HG03606	0	BEB
HG03607	11	BEB
HG03611	13	BEB
HG03615	10	BEB
HG03616	9	BEB
HG03617	0	BEB
HG03793	9	BEB
HG03794	0	BEB
HG03795	0	BEB
HG03796	12	BEB
HG03797	0	BEB
HG03798	0	BEB
HG03799	0	BEB
HG03800	8	BEB
HG03801	0	BEB
HG03802	11	BEB
HG03803	9	BEB
