logFC	logCPM	LR	PValue	FDR
ENSG00000179639.10_2	-4.03521130652898	-3.87604585643809	46.2802038720516	1.02494298362735e-11	1.99023428560758e-07
ENSG00000253329.1_2	-3.6977016484551	-2.9956461750688	41.5239460157815	1.16435937477159e-10	1.13047651696573e-06
ENSG00000241244.1_2	-2.27794969960749	2.24717837221704	36.1662606148361	1.81180357402711e-09	1.17272006001528e-05
ENSG00000163053.10_3	-1.43495900373479	-1.26349635829722	31.9451731545203	1.58585945223979e-08	6.97545252966529e-05
ENSG00000103310.10_3	-2.14680725485612	-3.16452059464567	31.7033398255327	1.79613053086448e-08	6.97545252966529e-05
ENSG00000253338.1_2	-3.43422175667371	-1.2597041170871	30.4182665991181	3.48233517782124e-08	0.000112699974138221
ENSG00000211891.6_4	-2.17523276441127	-1.66284920681657	29.5374028950469	5.48479704169668e-08	0.000152148269936666
ENSG00000234338.1_4	-1.35513383440929	-2.81540824112537	26.5644338517233	2.54893212332998e-07	0.00061868954963527
ENSG00000232977.6_2	-1.65723083982591	-2.77698348489244	22.4518148802466	2.15481792677759e-06	0.00435472299677905
ENSG00000140443.13_3	-0.969467363480939	-0.191682003863478	22.3751052510612	2.24262179255281e-06	0.00435472299677905
ENSG00000111249.13_2	-2.15442727105836	-2.67475397584849	20.0710184392997	7.46189053576321e-06	0.0131722718566773
ENSG00000253247.1_2	-2.1783013089083	-2.8339650590425	19.60653475789	9.51432265813466e-06	0.0153957597813049
ENSG00000186081.11_4	3.60415245382862	-2.65621534489375	19.4292565861576	1.04395522019018e-05	0.0155934788197331
ENSG00000164794.8_2	2.27008704883626	-1.65931862880605	18.992241586524	1.31251046858668e-05	0.0182045201992973
ENSG00000150625.16_3	2.41389377555372	0.667398420752174	18.5538704015038	1.65169514235449e-05	0.0196838084913653
ENSG00000089847.12_4	-0.634785605445901	-0.200972940566738	18.5098543684194	1.69028102441457e-05	0.0196838084913653
ENSG00000198467.14_4	-1.16601285488872	1.34947611143206	18.4730149183044	1.7232709051046e-05	0.0196838084913653
ENSG00000138829.11_4	-1.68885890123501	-0.847518434966094	17.3923531341188	3.04046748137349e-05	0.0311022898399846
ENSG00000187268.11_4	3.23035696040124	-1.53142705809452	17.1130826757852	3.52188670342388e-05	0.0311022898399846
ENSG00000167693.16_2	-0.813285399012341	-0.805553624754955	17.1027906926984	3.54102351599289e-05	0.0311022898399846
ENSG00000125845.6_3	1.86880277710848	-0.602702205731303	17.0029389646365	3.73220035987251e-05	0.0311022898399846
ENSG00000270748.1_2	-1.97429174312534	-2.35796330586835	16.9389189282522	3.86019851122867e-05	0.0311022898399846
ENSG00000069431.11_3	2.5503709193758	-1.29051528245277	16.8912344059007	3.95839589089888e-05	0.0311022898399846
ENSG00000253435.1_2	-1.939235135779	-0.172514949493174	16.7603056553095	4.24112834485491e-05	0.0311022898399846
ENSG00000167613.15_3	3.65523605056129	-1.60594157244825	16.7382906673179	4.29062419704479e-05	0.0311022898399846
ENSG00000200434.1	2.42814041694138	3.62329370125746	16.7317337624431	4.3054778893132e-05	0.0311022898399846
ENSG00000128422.15_3	-1.08346939926502	-0.145822777512583	16.7077639284003	4.36021927984826e-05	0.0311022898399846
ENSG00000111110.11_2	-1.52438309765078	-0.693530894168228	16.65430992092	4.48482910453996e-05	0.0311022898399846
ENSG00000100453.12_3	-1.76679080348328	-2.34172275741215	16.1710935552946	5.78705084710155e-05	0.0381080986159703
ENSG00000271630.1	-2.93271114618531	-3.69556750989136	16.1384849635217	5.88754227252605e-05	0.0381080986159703
ENSG00000125255.6_2	2.29240931610173	-1.31597035468889	15.9880424797974	6.37438264939775e-05	0.0399283104148405
ENSG00000284221.1_3	-0.942981900672219	-3.16745654097675	15.8025447214095	7.03078842063451e-05	0.0426637029849628
ENSG00000224559.2_3	-1.87907988629412	-2.7851552731468	15.5230360964729	8.15059186669073e-05	0.0472376384414975
ENSG00000111907.20_5	2.12716618271638	-2.28013278309561	15.412362379371	8.64210684751129e-05	0.0472376384414975
ENSG00000115607.9_3	-1.10773527029283	-0.466613229903781	15.4078151158781	8.66292774609122e-05	0.0472376384414975
ENSG00000237515.8_4	-2.01260253909564	-3.38256622405062	15.3537711136175	8.91428215898834e-05	0.0472376384414975
ENSG00000164199.17_5	-1.28476589457633	0.325139309475666	15.3355042340791	9.00088898102485e-05	0.0472376384414975
ENSG00000251705.1	2.19356212818645	4.62216555434011	15.1874381731403	9.73488629808829e-05	0.0497452689832312
