logFC	logCPM	LR	PValue	FDR
ENSG00000241244.1_2	4.03246460706585	3.01153966939599	73.5848912649738	9.63997496015866e-18	1.87189033776361e-13
ENSG00000253247.1_2	3.8341738129192	-2.39001798461487	45.800412573856	1.30935961613873e-11	1.2712572513091e-07
ENSG00000176406.22_3	3.91260905359859	-2.788916611659	40.1006198446496	2.41212434499374e-10	1.56128768436962e-06
ENSG00000182568.16_4	2.49727311239855	-1.9150136738194	32.9188155095998	9.60887646478949e-09	4.66462907983206e-05
ENSG00000242887.1_2	2.73957963296189	2.88751315290665	31.3745454143047	2.12751944804209e-08	7.81396651224802e-05
ENSG00000167693.16_2	1.9024954766669	-0.480748446216253	31.1289372590948	2.41445046212216e-08	7.81396651224802e-05
ENSG00000253464.1	2.88775746118135	-2.56379062509666	30.0054011189299	4.30844566864537e-08	0.000116333592444626
ENSG00000163600.12_3	3.64998955530186	-1.89168556276899	29.7988287001394	4.7928146027243e-08	0.000116333592444626
ENSG00000271569.1_2	3.09303390482654	-1.77141186255484	28.3275977121729	1.02425284193623e-07	0.000201642177700137
ENSG00000135362.13_4	2.35783736687631	-1.63851959042679	28.3009889896926	1.03842917756791e-07	0.000201642177700137
ENSG00000243290.3_2	3.30504070068902	5.65800860714572	25.9175021172237	3.56323768989573e-07	0.000629008631476322
ENSG00000230481.2_2	2.86281713898267	0.415343142720881	24.7215703771795	6.62386737774046e-07	0.00107185213950804
ENSG00000242371.1_2	2.53327482372706	5.73550308698567	21.9944961041073	2.73433452572476e-06	0.00408425444773256
ENSG00000198467.14_4	1.97194038444773	0.524451026810821	21.4064082351477	3.71527352758953e-06	0.00501758269849759
ENSG00000256377.5_4	2.16989630637117	-2.96615619342629	21.3252237969553	3.87597798318385e-06	0.00501758269849759
ENSG00000253461.1_2	2.45689081728896	-0.155018586348575	20.9729411072801	4.65816178597582e-06	0.0056532615975049
ENSG00000251546.1_2	2.38962684348248	4.99223623750725	20.014317792831	7.68644739740056e-06	0.00877973150368965
ENSG00000242766.1_2	2.39079736502892	0.988791095056169	19.2827796224375	1.12718396052538e-05	0.0121598100808232
ENSG00000241720.2_5	-3.40453943835146	-1.4808184223433	18.6042079313934	1.60865080334749e-05	0.0164404112102114
ENSG00000172159.15_2	1.48539032634169	-1.51952665741638	17.8434872803684	2.39838718427187e-05	0.0232859411720956
ENSG00000172673.10_4	2.60267307042427	-1.99226310009249	17.6883426507495	2.60216447400603e-05	0.0240613475029757
ENSG00000271375.1_4	2.27619423380261	1.01711200873474	17.3522459023659	3.10531082140168e-05	0.0274086025136263
ENSG00000174236.3_2	1.97330683807532	-3.00427105018151	17.0329872430734	3.67360317606861e-05	0.0306894630963065
ENSG00000002587.9_3	1.53636942471576	-0.973512376782812	16.972200798425	3.79311522459242e-05	0.0306894630963065
