logFC	logCPM	LR	PValue	FDR
ENSG00000211978.2_2	-2.52012648109796	2.70103335290036	33.2366773420151	8.15968763350737e-09	0.000158444814467446
ENSG00000259990.2_4	5.44004685270394	-1.31094516969358	28.4837852328013	9.44864868473684e-08	0.0009173693008011
ENSG00000253497.1_2	2.82662785396739	1.98183314130105	23.2008254326098	1.45934676276921e-06	0.00867750306539811
ENSG00000211673.2_2	4.17820310455236	7.06771466310563	22.7058148131985	1.88795690951306e-06	0.00867750306539811
ENSG00000224650.2_2	-2.72909939236924	4.00844108392219	22.3821620095117	2.23439671062883e-06	0.00867750306539811
ENSG00000002726.20_4	6.73953054620896	0.224811660433896	21.4052865376903	3.7174477246035e-06	0.0105306704640652
ENSG00000276566.1_2	2.87159120783948	1.92122501552261	21.3650926822656	3.79620420478196e-06	0.0105306704640652
ENSG00000145824.12_2	3.05986544655952	-2.31031769925842	19.1433115363266	1.21261679775602e-05	0.0273554098954542
ENSG00000109158.10_2	4.57655882526617	-1.62275439955225	19.0582433764078	1.26788901565088e-05	0.0273554098954542
ENSG00000178965.13_2	1.77614163509169	0.505876750258817	18.5308234187927	1.67178722711415e-05	0.0324627643761026
