"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1"	"1"	"3"	"399"	"0.00746268656716418"	"0.992537313432836"	"AMR"
"3"	"3"	"354"	"534"	"0.398648648648649"	"0.601351351351351"	"AMR"
"4"	"4"	"109"	"467"	"0.189236111111111"	"0.810763888888889"	"AMR"
"7"	"7"	"86"	"456"	"0.158671586715867"	"0.841328413284133"	"AMR"
"6"	"6"	"73"	"433"	"0.144268774703557"	"0.855731225296443"	"AMR"
"9"	"9"	"50"	"426"	"0.105042016806723"	"0.894957983193277"	"AMR"
"10"	"10"	"411"	"529"	"0.437234042553191"	"0.562765957446808"	"AMR"
"11"	"11"	"49"	"425"	"0.10337552742616"	"0.89662447257384"	"AMR"
"12"	"12"	"235"	"533"	"0.305989583333333"	"0.694010416666667"	"AMR"
"13"	"13"	"245"	"531"	"0.315721649484536"	"0.684278350515464"	"AMR"
"14"	"14"	"7"	"401"	"0.017156862745098"	"0.982843137254902"	"AMR"
"18"	"18"	"406"	"530"	"0.433760683760684"	"0.566239316239316"	"AMR"
"19"	"19"	"30"	"420"	"0.0666666666666667"	"0.933333333333333"	"AMR"
"22"	"22"	"230"	"450"	"0.338235294117647"	"0.661764705882353"	"AMR"
"21"	"21"	"491"	"515"	"0.488071570576541"	"0.511928429423459"	"AMR"
"26"	"26"	"7"	"403"	"0.0170731707317073"	"0.982926829268293"	"AMR"
"5"	"5"	"663"	"407"	"0.619626168224299"	"0.380373831775701"	"AMR"
"2"	"2"	"663"	"407"	"0.619626168224299"	"0.380373831775701"	"AMR"
"8"	"8"	"569"	"485"	"0.539848197343453"	"0.460151802656546"	"AMR"
"15"	"15"	"658"	"412"	"0.614953271028037"	"0.385046728971963"	"AMR"
"16"	"16"	"604"	"446"	"0.575238095238095"	"0.424761904761905"	"AMR"
"17"	"17"	"571"	"409"	"0.58265306122449"	"0.41734693877551"	"AMR"
"20"	"20"	"549"	"485"	"0.530947775628627"	"0.469052224371373"	"AMR"
"23"	"23"	"171"	"475"	"0.264705882352941"	"0.735294117647059"	"AMR"
"25"	"25"	"217"	"441"	"0.329787234042553"	"0.670212765957447"	"AMR"
"24"	"24"	"210"	"510"	"0.291666666666667"	"0.708333333333333"	"AMR"
