"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1.79792629"	"1.79792629"	"0"	"354"	"0"	"1"	"EUR"
"1.106015875"	"1.106015875"	"0"	"354"	"0"	"1"	"EUR"
"1.111802592"	"1.111802592"	"443"	"541"	"0.45020325203252"	"0.54979674796748"	"EUR"
"1.223578304"	"1.223578304"	"1"	"355"	"0.00280898876404494"	"0.997191011235955"	"EUR"
"11.60449890"	"11.60449890"	"2"	"354"	"0.00561797752808989"	"0.99438202247191"	"EUR"
"12.44313657"	"12.44313657"	"82"	"418"	"0.164"	"0.836"	"EUR"
"12.124066477"	"12.124066477"	"131"	"425"	"0.235611510791367"	"0.764388489208633"	"EUR"
"13.90743183"	"13.90743183"	"111"	"397"	"0.218503937007874"	"0.781496062992126"	"EUR"
"15.63374594"	"15.63374594"	"682"	"526"	"0.564569536423841"	"0.435430463576159"	"EUR"
"19.21841536"	"19.21841536"	"71"	"387"	"0.155021834061135"	"0.844978165938865"	"EUR"
"19.22414379"	"19.22414379"	"338"	"544"	"0.383219954648526"	"0.616780045351474"	"EUR"
"19.22457244"	"19.22457244"	"0"	"354"	"0"	"1"	"EUR"
"19.29855781"	"19.29855781"	"406"	"542"	"0.428270042194093"	"0.571729957805907"	"EUR"
"19.57996939"	"19.57996939"	"4"	"356"	"0.0111111111111111"	"0.988888888888889"	"EUR"
"20.12402387"	"20.12402387"	"1"	"355"	"0.00280898876404494"	"0.997191011235955"	"EUR"
"3.94943488"	"3.94943488"	"1"	"355"	"0.00280898876404494"	"0.997191011235955"	"EUR"
"4.9603240"	"4.9603240"	"833"	"479"	"0.634908536585366"	"0.365091463414634"	"EUR"
"4.9981605"	"4.9981605"	"0"	"354"	"0"	"1"	"EUR"
"5.4537604"	"5.4537604"	"0"	"354"	"0"	"1"	"EUR"
"5.64388440"	"5.64388440"	"46"	"380"	"0.107981220657277"	"0.892018779342723"	"EUR"
"5.80442266"	"5.80442266"	"53"	"393"	"0.118834080717489"	"0.881165919282511"	"EUR"
"6.16004859"	"6.16004859"	"2"	"356"	"0.00558659217877095"	"0.994413407821229"	"EUR"
"6.32648036"	"6.32648036"	"252"	"436"	"0.366279069767442"	"0.633720930232558"	"EUR"
"6.161270899"	"6.161270899"	"545"	"567"	"0.490107913669065"	"0.509892086330935"	"EUR"
"7.158773385"	"7.158773385"	"0"	"354"	"0"	"1"	"EUR"
"8.146086169"	"8.146086169"	"0"	"354"	"0"	"1"	"EUR"
"9.132205203"	"9.132205203"	"0"	"354"	"0"	"1"	"EUR"
"X.93606603"	"X.93606603"	"0"	"354"	"0"	"1"	"EUR"
"1.52471916"	"1.52471916"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"1.66890497"	"1.66890497"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"1.75842765"	"1.75842765"	"980"	"354"	"0.734632683658171"	"0.265367316341829"	"EUR"
"1.93742338"	"1.93742338"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"1.155596457"	"1.155596457"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"1.156149013"	"1.156149013"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"1.224527532"	"1.224527532"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"10.27182393"	"10.27182393"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"10.70285428"	"10.70285428"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"11.10412855"	"11.10412855"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"11.24467639"	"11.24467639"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"11.63297785"	"11.63297785"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"11.67635434"	"11.67635434"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"11.71478250"	"11.71478250"	"982"	"354"	"0.735029940119761"	"0.26497005988024"	"EUR"
"11.71875417"	"11.71875417"	"975"	"363"	"0.728699551569507"	"0.271300448430493"	"EUR"
"11.101565789"	"11.101565789"	"983"	"355"	"0.734678624813154"	"0.265321375186846"	"EUR"
"12.6995023"	"12.6995023"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"12.9753060"	"12.9753060"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"12.32252444"	"12.32252444"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"12.51848070"	"12.51848070"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"12.55727210"	"12.55727210"	"854"	"450"	"0.654907975460123"	"0.345092024539877"	"EUR"
"12.56794144"	"12.56794144"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"12.58721236"	"12.58721236"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
