"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1.79792629"	"1.79792629"	"0"	"348"	"0"	"1"	"SAS"
"1.106015875"	"1.106015875"	"0"	"348"	"0"	"1"	"SAS"
"1.111802592"	"1.111802592"	"447"	"549"	"0.448795180722892"	"0.551204819277108"	"SAS"
"1.223578304"	"1.223578304"	"0"	"348"	"0"	"1"	"SAS"
"11.60449890"	"11.60449890"	"4"	"350"	"0.0112994350282486"	"0.988700564971751"	"SAS"
"12.44313657"	"12.44313657"	"175"	"461"	"0.275157232704403"	"0.724842767295597"	"SAS"
"12.124066477"	"12.124066477"	"79"	"397"	"0.165966386554622"	"0.834033613445378"	"SAS"
"13.90743183"	"13.90743183"	"41"	"365"	"0.100985221674877"	"0.899014778325123"	"SAS"
"15.63374594"	"15.63374594"	"755"	"489"	"0.606913183279743"	"0.393086816720257"	"SAS"
"19.21841536"	"19.21841536"	"200"	"468"	"0.29940119760479"	"0.70059880239521"	"SAS"
"19.22414379"	"19.22414379"	"431"	"551"	"0.438900203665988"	"0.561099796334012"	"SAS"
"19.22457244"	"19.22457244"	"0"	"348"	"0"	"1"	"SAS"
"19.29855781"	"19.29855781"	"289"	"521"	"0.35679012345679"	"0.64320987654321"	"SAS"
"19.57996939"	"19.57996939"	"0"	"348"	"0"	"1"	"SAS"
"20.12402387"	"20.12402387"	"0"	"348"	"0"	"1"	"SAS"
"3.94943488"	"3.94943488"	"10"	"358"	"0.0271739130434783"	"0.972826086956522"	"SAS"
"4.9603240"	"4.9603240"	"543"	"561"	"0.491847826086957"	"0.508152173913043"	"SAS"
"4.9981605"	"4.9981605"	"0"	"348"	"0"	"1"	"SAS"
"5.4537604"	"5.4537604"	"0"	"348"	"0"	"1"	"SAS"
"5.64388440"	"5.64388440"	"12"	"358"	"0.0324324324324324"	"0.967567567567568"	"SAS"
"5.80442266"	"5.80442266"	"28"	"372"	"0.07"	"0.93"	"SAS"
"6.16004859"	"6.16004859"	"0"	"348"	"0"	"1"	"SAS"
"6.32648036"	"6.32648036"	"362"	"448"	"0.446913580246914"	"0.553086419753086"	"SAS"
"6.161270899"	"6.161270899"	"744"	"522"	"0.587677725118483"	"0.412322274881517"	"SAS"
"7.158773385"	"7.158773385"	"0"	"348"	"0"	"1"	"SAS"
"8.146086169"	"8.146086169"	"0"	"348"	"0"	"1"	"SAS"
"9.132205203"	"9.132205203"	"0"	"348"	"0"	"1"	"SAS"
"X.93606603"	"X.93606603"	"0"	"348"	"0"	"1"	"SAS"
"1.52471916"	"1.52471916"	"974"	"348"	"0.736762481089259"	"0.263237518910741"	"SAS"
"1.66890497"	"1.66890497"	"974"	"348"	"0.736762481089259"	"0.263237518910741"	"SAS"
"1.75842765"	"1.75842765"	"974"	"348"	"0.736762481089259"	"0.263237518910741"	"SAS"
"1.93742338"	"1.93742338"	"974"	"348"	"0.736762481089259"	"0.263237518910741"	"SAS"
"1.155596457"	"1.155596457"	"974"	"348"	"0.736762481089259"	"0.263237518910741"	"SAS"
