"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1.111802592"	"1.111802592"	"447"	"549"	"0.448795180722892"	"0.551204819277108"	"SAS"
"12.44313657"	"12.44313657"	"175"	"461"	"0.275157232704403"	"0.724842767295597"	"SAS"
"12.124066477"	"12.124066477"	"79"	"397"	"0.165966386554622"	"0.834033613445378"	"SAS"
"19.21841536"	"19.21841536"	"200"	"468"	"0.29940119760479"	"0.70059880239521"	"SAS"
"19.22414379"	"19.22414379"	"431"	"551"	"0.438900203665988"	"0.561099796334012"	"SAS"
"19.29855781"	"19.29855781"	"289"	"521"	"0.35679012345679"	"0.64320987654321"	"SAS"
"11.71875417"	"11.71875417"	"911"	"403"	"0.693302891933029"	"0.306697108066971"	"SAS"
"12.5572721"	"12.5572721"	"806"	"466"	"0.633647798742138"	"0.366352201257862"	"SAS"
"3.14132679"	"3.14132679"	"974"	"348"	"0.736762481089259"	"0.263237518910741"	"SAS"
"3.195654395"	"3.195654395"	"910"	"408"	"0.690440060698027"	"0.309559939301973"	"SAS"
"4.120263688"	"4.120263688"	"892"	"360"	"0.712460063897764"	"0.287539936102236"	"SAS"
"5.8937848"	"5.8937848"	"817"	"469"	"0.635303265940902"	"0.364696734059098"	"SAS"
"7.158029477"	"7.158029477"	"191"	"471"	"0.288519637462236"	"0.711480362537764"	"SAS"
"6.161270899"	"6.161270899"	"744"	"522"	"0.587677725118483"	"0.412322274881517"	"SAS"
"11.101565789"	"11.101565789"	"909"	"413"	"0.687594553706505"	"0.312405446293495"	"SAS"
