"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1"	"1"	"223"	"801"	"0.2177734375"	"0.7822265625"	"AFR"
"3"	"3"	"628"	"1004"	"0.384803921568627"	"0.615196078431373"	"AFR"
"4"	"4"	"22"	"764"	"0.0279898218829517"	"0.972010178117048"	"AFR"
"7"	"7"	"527"	"1037"	"0.33695652173913"	"0.66304347826087"	"AFR"
"6"	"6"	"368"	"940"	"0.281345565749235"	"0.718654434250764"	"AFR"
"9"	"9"	"416"	"892"	"0.318042813455657"	"0.681957186544342"	"AFR"
"10"	"10"	"883"	"985"	"0.472698072805139"	"0.527301927194861"	"AFR"
"11"	"11"	"313"	"925"	"0.252827140549273"	"0.747172859450727"	"AFR"
"12"	"12"	"813"	"1013"	"0.445235487404162"	"0.554764512595838"	"AFR"
"13"	"13"	"623"	"1025"	"0.378033980582524"	"0.621966019417476"	"AFR"
"14"	"14"	"65"	"799"	"0.0752314814814815"	"0.924768518518518"	"AFR"
"18"	"18"	"687"	"1035"	"0.398954703832753"	"0.601045296167247"	"AFR"
"19"	"19"	"136"	"854"	"0.137373737373737"	"0.862626262626263"	"AFR"
"22"	"22"	"293"	"845"	"0.257469244288225"	"0.742530755711775"	"AFR"
"21"	"21"	"840"	"1038"	"0.447284345047923"	"0.552715654952077"	"AFR"
"26"	"26"	"65"	"775"	"0.0773809523809524"	"0.922619047619048"	"AFR"
"5"	"5"	"1197"	"837"	"0.588495575221239"	"0.411504424778761"	"AFR"
"2"	"2"	"1130"	"876"	"0.563310069790628"	"0.436689930209372"	"AFR"
"8"	"8"	"861"	"957"	"0.473597359735974"	"0.526402640264026"	"AFR"
"15"	"15"	"974"	"960"	"0.503619441571872"	"0.496380558428128"	"AFR"
"16"	"16"	"1284"	"752"	"0.630648330058939"	"0.369351669941061"	"AFR"
"17"	"17"	"1053"	"775"	"0.576039387308534"	"0.423960612691466"	"AFR"
"20"	"20"	"990"	"964"	"0.506653019447288"	"0.493346980552712"	"AFR"
"23"	"23"	"216"	"870"	"0.198895027624309"	"0.801104972375691"	"AFR"
"25"	"25"	"661"	"807"	"0.450272479564033"	"0.549727520435967"	"AFR"
"24"	"24"	"688"	"992"	"0.40952380952381"	"0.59047619047619"	"AFR"
