"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"42"	"42"	"0"	"750"	"0"	"1"	"AFR"
"3"	"3"	"223"	"801"	"0.2177734375"	"0.7822265625"	"AFR"
"6"	"6"	"628"	"1004"	"0.384803921568627"	"0.615196078431373"	"AFR"
"16"	"16"	"52"	"786"	"0.0620525059665871"	"0.937947494033413"	"AFR"
"10"	"10"	"22"	"764"	"0.0279898218829517"	"0.972010178117048"	"AFR"
"19"	"19"	"527"	"1037"	"0.33695652173913"	"0.66304347826087"	"AFR"
"15"	"15"	"368"	"940"	"0.281345565749235"	"0.718654434250764"	"AFR"
"27"	"27"	"416"	"892"	"0.318042813455657"	"0.681957186544342"	"AFR"
"31"	"31"	"883"	"985"	"0.472698072805139"	"0.527301927194861"	"AFR"
"45"	"45"	"313"	"925"	"0.252827140549273"	"0.747172859450727"	"AFR"
"46"	"46"	"813"	"1013"	"0.445235487404162"	"0.554764512595838"	"AFR"
"47"	"47"	"47"	"791"	"0.0560859188544153"	"0.943914081145585"	"AFR"
"48"	"48"	"623"	"1025"	"0.378033980582524"	"0.621966019417476"	"AFR"
"53"	"53"	"65"	"799"	"0.0752314814814815"	"0.924768518518518"	"AFR"
"54"	"54"	"102"	"832"	"0.109207708779443"	"0.890792291220557"	"AFR"
"70"	"70"	"2"	"752"	"0.0026525198938992"	"0.997347480106101"	"AFR"
"76"	"76"	"687"	"1035"	"0.398954703832753"	"0.601045296167247"	"AFR"
"77"	"77"	"63"	"801"	"0.0729166666666667"	"0.927083333333333"	"AFR"
"85"	"85"	"27"	"773"	"0.03375"	"0.96625"	"AFR"
"87"	"87"	"136"	"854"	"0.137373737373737"	"0.862626262626263"	"AFR"
"89"	"89"	"24"	"774"	"0.0300751879699248"	"0.969924812030075"	"AFR"
"93"	"93"	"9"	"757"	"0.0117493472584856"	"0.988250652741514"	"AFR"
"95"	"95"	"293"	"845"	"0.257469244288225"	"0.742530755711775"	"AFR"
"94"	"94"	"840"	"1038"	"0.447284345047923"	"0.552715654952077"	"AFR"
"105"	"105"	"36"	"778"	"0.0442260442260442"	"0.955773955773956"	"AFR"
"108"	"108"	"1"	"751"	"0.00132978723404255"	"0.998670212765957"	"AFR"
"116"	"116"	"0"	"750"	"0"	"1"	"AFR"
"125"	"125"	"65"	"775"	"0.0773809523809524"	"0.922619047619048"	"AFR"
"30"	"30"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"35"	"35"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"40"	"40"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"50"	"50"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"8"	"8"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"9"	"9"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"17"	"17"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"1"	"1"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"2"	"2"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"5"	"5"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"7"	"7"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"11"	"11"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"12"	"12"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"13"	"13"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"14"	"14"	"1197"	"837"	"0.588495575221239"	"0.411504424778761"	"AFR"
"4"	"4"	"1130"	"876"	"0.563310069790628"	"0.436689930209372"	"AFR"
"24"	"24"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"25"	"25"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"18"	"18"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"20"	"20"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"21"	"21"	"861"	"957"	"0.473597359735974"	"0.526402640264026"	"AFR"
"22"	"22"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"23"	"23"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"26"	"26"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"28"	"28"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"29"	"29"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"32"	"32"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"34"	"34"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"36"	"36"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"33"	"33"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"38"	"38"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"37"	"37"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"39"	"39"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"41"	"41"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"43"	"43"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"44"	"44"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"49"	"49"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"51"	"51"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"52"	"52"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"60"	"60"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"61"	"61"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"62"	"62"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"58"	"58"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"59"	"59"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"55"	"55"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"56"	"56"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"57"	"57"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"65"	"65"	"974"	"960"	"0.503619441571872"	"0.496380558428128"	"AFR"
"68"	"68"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"69"	"69"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"63"	"63"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"64"	"64"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"66"	"66"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"67"	"67"	"1284"	"752"	"0.630648330058939"	"0.369351669941061"	"AFR"
"72"	"72"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"74"	"74"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"75"	"75"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"71"	"71"	"1053"	"775"	"0.576039387308534"	"0.423960612691466"	"AFR"
"73"	"73"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"90"	"90"	"990"	"964"	"0.506653019447288"	"0.493346980552712"	"AFR"
"82"	"82"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"83"	"83"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"84"	"84"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"86"	"86"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"88"	"88"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"78"	"78"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"79"	"79"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"80"	"80"	"1285"	"751"	"0.631139489194499"	"0.368860510805501"	"AFR"
"81"	"81"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"96"	"96"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"97"	"97"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"98"	"98"	"1283"	"753"	"0.630157170923379"	"0.369842829076621"	"AFR"
"99"	"99"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"100"	"100"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"91"	"91"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"92"	"92"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"107"	"107"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"106"	"106"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"101"	"101"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"102"	"102"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"103"	"103"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"104"	"104"	"216"	"870"	"0.198895027624309"	"0.801104972375691"	"AFR"
"113"	"113"	"661"	"807"	"0.450272479564033"	"0.549727520435967"	"AFR"
"109"	"109"	"688"	"992"	"0.40952380952381"	"0.59047619047619"	"AFR"
"110"	"110"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"111"	"111"	"1284"	"750"	"0.631268436578171"	"0.368731563421829"	"AFR"
"112"	"112"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"118"	"118"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"119"	"119"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"120"	"120"	"1284"	"752"	"0.630648330058939"	"0.369351669941061"	"AFR"
"121"	"121"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"114"	"114"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"115"	"115"	"1258"	"778"	"0.617878192534381"	"0.382121807465619"	"AFR"
"117"	"117"	"1284"	"750"	"0.631268436578171"	"0.368731563421829"	"AFR"
"124"	"124"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"122"	"122"	"1284"	"750"	"0.631268436578171"	"0.368731563421829"	"AFR"
"123"	"123"	"1286"	"750"	"0.631630648330059"	"0.368369351669941"	"AFR"
"126"	"126"	"540"	"750"	"0.418604651162791"	"0.581395348837209"	"AFR"
