"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1"	"1"	"0"	"244"	"0"	"1"	"EAS"
"3"	"3"	"524"	"428"	"0.550420168067227"	"0.449579831932773"	"EAS"
"4"	"4"	"84"	"298"	"0.219895287958115"	"0.780104712041885"	"EAS"
"7"	"7"	"321"	"415"	"0.436141304347826"	"0.563858695652174"	"EAS"
"6"	"6"	"37"	"265"	"0.122516556291391"	"0.877483443708609"	"EAS"
"9"	"9"	"9"	"247"	"0.03515625"	"0.96484375"	"EAS"
"10"	"10"	"964"	"266"	"0.783739837398374"	"0.216260162601626"	"EAS"
"11"	"11"	"227"	"337"	"0.402482269503546"	"0.597517730496454"	"EAS"
"12"	"12"	"345"	"419"	"0.451570680628272"	"0.548429319371728"	"EAS"
"13"	"13"	"588"	"442"	"0.570873786407767"	"0.429126213592233"	"EAS"
"14"	"14"	"0"	"244"	"0"	"1"	"EAS"
"18"	"18"	"533"	"439"	"0.548353909465021"	"0.451646090534979"	"EAS"
"19"	"19"	"14"	"256"	"0.0518518518518519"	"0.948148148148148"	"EAS"
"22"	"22"	"337"	"297"	"0.531545741324921"	"0.468454258675079"	"EAS"
"21"	"21"	"975"	"259"	"0.790113452188006"	"0.209886547811994"	"EAS"
"26"	"26"	"0"	"244"	"0"	"1"	"EAS"
"5"	"5"	"885"	"323"	"0.732615894039735"	"0.267384105960265"	"EAS"
"2"	"2"	"937"	"293"	"0.761788617886179"	"0.238211382113821"	"EAS"
"8"	"8"	"614"	"398"	"0.606719367588933"	"0.393280632411067"	"EAS"
"15"	"15"	"990"	"244"	"0.80226904376013"	"0.19773095623987"	"EAS"
"16"	"16"	"922"	"304"	"0.752039151712887"	"0.247960848287113"	"EAS"
"17"	"17"	"800"	"252"	"0.760456273764259"	"0.239543726235741"	"EAS"
"20"	"20"	"971"	"263"	"0.786871961102107"	"0.213128038897893"	"EAS"
"23"	"23"	"297"	"377"	"0.440652818991098"	"0.559347181008902"	"EAS"
"25"	"25"	"245"	"293"	"0.455390334572491"	"0.544609665427509"	"EAS"
"24"	"24"	"648"	"420"	"0.606741573033708"	"0.393258426966292"	"EAS"
