"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"1"	"1"	"0"	"354"	"0"	"1"	"EUR"
"3"	"3"	"443"	"541"	"0.45020325203252"	"0.54979674796748"	"EUR"
"4"	"4"	"2"	"354"	"0.00561797752808989"	"0.99438202247191"	"EUR"
"7"	"7"	"82"	"418"	"0.164"	"0.836"	"EUR"
"6"	"6"	"131"	"425"	"0.235611510791367"	"0.764388489208633"	"EUR"
"9"	"9"	"111"	"397"	"0.218503937007874"	"0.781496062992126"	"EUR"
"10"	"10"	"682"	"526"	"0.564569536423841"	"0.435430463576159"	"EUR"
"11"	"11"	"71"	"387"	"0.155021834061135"	"0.844978165938865"	"EUR"
"12"	"12"	"338"	"544"	"0.383219954648526"	"0.616780045351474"	"EUR"
"13"	"13"	"406"	"542"	"0.428270042194093"	"0.571729957805907"	"EUR"
"14"	"14"	"4"	"356"	"0.0111111111111111"	"0.988888888888889"	"EUR"
"18"	"18"	"833"	"479"	"0.634908536585366"	"0.365091463414634"	"EUR"
"19"	"19"	"46"	"380"	"0.107981220657277"	"0.892018779342723"	"EUR"
"22"	"22"	"252"	"436"	"0.366279069767442"	"0.633720930232558"	"EUR"
"21"	"21"	"545"	"567"	"0.490107913669065"	"0.509892086330935"	"EUR"
"26"	"26"	"0"	"354"	"0"	"1"	"EUR"
"5"	"5"	"975"	"363"	"0.728699551569507"	"0.271300448430493"	"EUR"
"2"	"2"	"983"	"355"	"0.734678624813154"	"0.265321375186846"	"EUR"
"8"	"8"	"854"	"450"	"0.654907975460123"	"0.345092024539877"	"EUR"
"15"	"15"	"984"	"354"	"0.73542600896861"	"0.26457399103139"	"EUR"
"16"	"16"	"944"	"394"	"0.705530642750374"	"0.294469357249626"	"EUR"
"17"	"17"	"878"	"360"	"0.709208400646204"	"0.290791599353796"	"EUR"
"20"	"20"	"769"	"503"	"0.604559748427673"	"0.395440251572327"	"EUR"
"23"	"23"	"330"	"488"	"0.403422982885086"	"0.596577017114914"	"EUR"
"25"	"25"	"283"	"409"	"0.408959537572254"	"0.591040462427746"	"EUR"
"24"	"24"	"229"	"475"	"0.325284090909091"	"0.674715909090909"	"EUR"
