"insID"	"haps11"	"haps00"	"%11"	"%00"	"SUPERPOP"
"42"	"42"	"0"	"398"	"0"	"1"	"AMR"
"3"	"3"	"3"	"399"	"0.00746268656716418"	"0.992537313432836"	"AMR"
"6"	"6"	"354"	"534"	"0.398648648648649"	"0.601351351351351"	"AMR"
"16"	"16"	"3"	"401"	"0.00742574257425743"	"0.992574257425743"	"AMR"
"10"	"10"	"109"	"467"	"0.189236111111111"	"0.810763888888889"	"AMR"
"19"	"19"	"86"	"456"	"0.158671586715867"	"0.841328413284133"	"AMR"
"15"	"15"	"73"	"433"	"0.144268774703557"	"0.855731225296443"	"AMR"
"27"	"27"	"50"	"426"	"0.105042016806723"	"0.894957983193277"	"AMR"
"31"	"31"	"411"	"529"	"0.437234042553191"	"0.562765957446808"	"AMR"
"45"	"45"	"49"	"425"	"0.10337552742616"	"0.89662447257384"	"AMR"
"46"	"46"	"235"	"533"	"0.305989583333333"	"0.694010416666667"	"AMR"
"47"	"47"	"3"	"401"	"0.00742574257425743"	"0.992574257425743"	"AMR"
"48"	"48"	"245"	"531"	"0.315721649484536"	"0.684278350515464"	"AMR"
"53"	"53"	"7"	"401"	"0.017156862745098"	"0.982843137254902"	"AMR"
"54"	"54"	"2"	"400"	"0.00497512437810945"	"0.995024875621891"	"AMR"
"70"	"70"	"1"	"399"	"0.0025"	"0.9975"	"AMR"
"76"	"76"	"406"	"530"	"0.433760683760684"	"0.566239316239316"	"AMR"
"77"	"77"	"1"	"399"	"0.0025"	"0.9975"	"AMR"
"85"	"85"	"1"	"399"	"0.0025"	"0.9975"	"AMR"
"87"	"87"	"30"	"420"	"0.0666666666666667"	"0.933333333333333"	"AMR"
"89"	"89"	"26"	"422"	"0.0580357142857143"	"0.941964285714286"	"AMR"
"93"	"93"	"1"	"399"	"0.0025"	"0.9975"	"AMR"
"95"	"95"	"230"	"450"	"0.338235294117647"	"0.661764705882353"	"AMR"
"94"	"94"	"491"	"515"	"0.488071570576541"	"0.511928429423459"	"AMR"
